"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Roger Clemens\clemero02","BOS",140,28,"100%",8.9,24,4,0.857,2.48,33,33,0,10,1,0,254,179,77,70,21,67,0,238,4,3,11,997,0.969,169
2,"Teddy Higuera\higuete01","MIL",42,0,"30%",9.4,20,11,0.645,2.79,34,34,0,15,4,0,248.1,226,84,77,26,74,5,207,3,0,3,1031,1.208,156
3,"Mike Witt\wittmi01","CAL",35,0,"25%",6.1,18,10,0.643,2.84,34,34,0,14,3,0,269,218,95,85,22,73,2,208,3,0,6,1071,1.082,144
4,"Dave Righetti\righeda01","NYY",20,0,"14%",3.8,8,8,0.5,2.45,74,0,68,0,0,46,106.2,88,31,29,4,35,7,83,2,0,1,435,1.153,168
5,"Jack Morris\morrija02","DET",13,0,"9%",5.2,21,8,0.724,3.27,35,35,0,15,6,0,267,229,105,97,40,82,7,223,0,0,12,1092,1.165,127
6,"Mark Eichhorn\eichhma01","TOR",2,0,"1%",7.3,14,6,0.7,1.72,69,0,38,0,0,10,157,105,32,30,8,45,14,166,7,1,2,612,0.955,246
