"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Fernando Valenzuela\valenfe01","LAD",70,8,"58%",4.8,13,7,0.65,2.48,25,25,0,11,8,0,192.1,140,55,53,11,61,4,180,1,0,4,758,1.045,135
2,"Tom Seaver\seaveto01","CIN",67,8,"56%",4,14,2,0.875,2.54,23,23,0,6,1,0,166.1,120,51,47,10,66,8,87,3,0,5,671,1.118,140
3,"Steve Carlton\carltst01","PHI",50,5,"42%",5.6,13,4,0.765,2.42,24,24,0,10,1,0,190,152,59,51,9,62,3,179,1,4,9,763,1.126,151
4,"Nolan Ryan\ryanno01","HOU",28,3,"23%",4.7,11,5,0.688,1.69,21,21,0,5,3,0,149,99,34,28,2,68,1,140,1,2,16,605,1.121,195
5,"Bruce Sutter\suttebr01","STL",1,0,"1%",1.6,3,5,0.375,2.62,48,0,36,0,0,25,82.1,64,24,24,5,24,8,57,1,1,0,328,1.069,136
