"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Greg Maddux\maddugr01","CHC",112,20,"93%",9.1,20,11,0.645,2.18,35,35,0,9,4,0,268,201,68,65,7,70,7,199,14,0,5,1061,1.011,166
2,"Tom Glavine\glavito02","ATL",78,4,"65%",3.8,20,8,0.714,2.76,33,33,0,7,5,0,225,197,81,69,6,70,7,129,2,0,5,919,1.187,134
3,"Bob Tewksbury\tewksbo01","STL",22,0,"18%",6.4,16,5,0.762,2.16,33,32,1,5,0,0,233,217,63,56,15,20,0,91,3,0,2,915,1.017,158
4,"Lee Smith\smithle02","STL",3,0,"3%",0.6,4,9,0.308,3.12,70,0,55,0,0,43,75,62,28,26,4,26,4,60,0,0,2,310,1.173,110
5,"Doug Drabek\drabedo01","PIT",1,0,"1%",5.3,15,11,0.577,2.77,34,34,0,10,4,0,256.2,218,84,79,17,54,8,177,6,1,11,1021,1.06,126
