"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Bruce Sutter\suttebr01","CHC",72,10,"60%",4.9,6,6,0.5,2.22,62,0,56,0,0,37,101.1,67,29,25,3,32,5,110,0,0,9,403,0.977,188
2,"Joe Niekro\niekrjo01","HOU",66,9,"55%",3.5,21,11,0.656,3,38,38,0,11,5,0,263.2,221,102,88,17,107,1,119,7,0,19,1095,1.244,117
3,"J.R. Richard\richaj.01","HOU",41,4,"34%",5.6,18,13,0.581,2.71,38,38,0,19,4,0,292.1,220,98,88,13,98,5,313,3,1,19,1175,1.088,130
4,"Tom Seaver\seaveto01","CIN",20,0,"17%",3.4,16,6,0.727,3.14,32,32,0,9,5,0,215,187,85,75,16,61,6,131,0,0,4,868,1.153,121
5,"Kent Tekulve\tekulke01","PIT",14,1,"12%",3.2,10,8,0.556,2.75,94,0,67,0,0,31,134.1,109,46,41,5,49,20,75,2,0,4,550,1.176,142
6,"Phil Niekro\niekrph01","ATL",3,0,"3%",7.4,21,20,0.512,3.39,44,44,0,23,1,0,342,311,160,129,41,113,8,208,11,4,18,1436,1.24,119
