"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Orel Hershiser\hershor01","LAD",120,24,"100%",7.2,23,8,0.742,2.26,35,34,1,15,8,1,267,208,73,67,18,73,10,178,4,5,6,1068,1.052,149
2,"Danny Jackson\jacksda02","CIN",54,0,"45%",5,23,8,0.742,2.73,35,35,0,15,6,0,260.2,206,86,79,13,71,6,161,2,2,5,1034,1.063,132
3,"David Cone\coneda01","NYM",42,0,"35%",5.5,20,3,0.87,2.22,35,28,0,8,4,0,231.1,178,67,57,10,80,7,213,4,10,10,936,1.115,145
