"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Pedro Martinez\martipe02","BOS",140,28,"100%",11.7,18,6,0.75,1.74,29,29,0,7,4,0,217,128,44,42,17,32,0,284,14,0,1,817,0.737,291
2,"Tim Hudson\hudsoti01","OAK",54,0,"39%",4,20,6,0.769,4.14,32,32,0,2,2,0,202.1,169,100,93,24,82,5,169,7,0,7,847,1.241,113
3,"David Wells\wellsda01","TOR",46,0,"33%",4.8,20,8,0.714,4.11,35,35,0,9,1,0,229.2,266,115,105,23,31,0,166,8,1,9,972,1.293,123
4,"Andy Pettitte\pettian01","NYY",7,0,"5%",3.6,19,9,0.679,4.35,32,32,0,3,1,0,204.2,219,111,99,17,80,4,125,4,3,2,903,1.461,111
5,"Todd Jones\jonesto02","DET",3,0,"2%",1.2,2,4,0.333,3.52,67,0,60,0,0,42,64,67,28,25,6,25,1,67,1,0,2,271,1.438,134
6,"Roger Clemens\clemero02","NYY",1,0,"1%",4.6,13,8,0.619,3.7,32,32,0,1,0,0,204.1,184,96,84,26,84,0,188,10,1,2,878,1.312,131
6,"Mike Mussina\mussimi01","BAL",1,0,"1%",5.7,11,15,0.423,3.79,34,34,0,6,1,0,237.2,236,105,100,28,46,0,210,3,0,3,987,1.187,125
