"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Roy Halladay\hallaro01","TOR",136,26,"97%",8.1,22,7,0.759,3.25,36,36,0,9,2,0,266,253,111,96,26,32,1,204,9,1,6,1071,1.071,145
2,"Esteban Loaiza\loaizes01","CHW",63,2,"45%",7.2,21,9,0.7,2.9,34,34,0,1,0,0,226.1,196,75,73,17,56,2,207,10,1,3,922,1.113,159
3,"Pedro Martinez\martipe02","BOS",20,0,"14%",8,14,4,0.778,2.22,29,29,0,3,0,0,186.2,147,52,46,7,47,0,206,9,0,5,749,1.039,211
4,"Tim Hudson\hudsoti01","OAK",15,0,"11%",7.5,16,7,0.696,2.7,34,34,0,3,2,0,240,197,84,72,15,61,9,162,10,0,6,967,1.075,165
5,"Jamie Moyer\moyerja01","SEA",12,0,"9%",4.8,21,7,0.75,3.27,33,33,0,1,0,0,215,199,83,78,19,66,3,129,8,0,0,897,1.233,132
6,"Andy Pettitte\pettian01","NYY",4,0,"3%",3.1,21,8,0.724,4.02,33,33,0,1,0,0,208.1,227,109,93,21,50,3,180,1,0,5,896,1.33,110
7,"Keith Foulke\foulkke01","OAK",1,0,"1%",3.5,9,1,0.9,2.08,72,0,67,0,0,43,86.2,57,21,20,10,20,2,88,7,1,0,338,0.888,215
7,"Johan Santana\santajo02","MIN",1,0,"1%",4.2,12,3,0.8,3.07,45,18,7,0,0,0,158.1,127,56,54,17,47,1,169,3,2,6,644,1.099,148
