"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Mike McCormick\mccormi03","SFG",18,18,"90%",4.4,22,10,0.688,2.85,40,35,3,14,5,0,262.1,220,88,83,25,81,18,150,5,0,9,1073,1.147,118
2,"Jim Bunning\bunniji01","PHI",1,1,"5%",7.8,17,15,0.531,2.29,40,40,0,16,6,0,302.1,241,94,77,18,73,20,253,13,1,4,1216,1.039,149
2,"Fergie Jenkins\jenkife01","CHC",1,1,"5%",5,20,13,0.606,2.8,38,38,0,20,3,0,289.1,230,101,90,30,83,8,236,4,0,2,1156,1.082,127
