"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Mike Flanagan\flanami01","BAL",136,26,"97%",3.9,23,9,0.719,3.08,39,38,0,16,5,0,265.2,245,107,91,23,70,1,190,3,0,6,1085,1.186,131
2,"Tommy John\johnto01","NYY",51,1,"36%",5.5,21,9,0.7,2.96,37,36,1,17,3,0,276.1,268,109,91,9,65,1,111,4,1,11,1116,1.205,137
3,"Ron Guidry\guidrro01","NYY",26,1,"19%",6.6,18,8,0.692,2.78,33,30,3,15,2,2,236.1,203,83,73,20,71,0,201,0,0,9,946,1.159,146
4,"Jim Kern\kernji01","TEX",25,0,"18%",6.2,13,5,0.722,1.57,71,0,57,0,0,29,143,99,35,25,5,62,6,136,2,0,5,578,1.126,264
5,"Mike Marshall\marshmi01","MIN",7,0,"5%",4.5,10,15,0.4,2.65,90,1,84,0,0,32,142.2,132,47,42,8,48,2,81,4,1,8,586,1.262,166
6,"Jerry Koosman\koosmje01","MIN",5,0,"4%",7.2,20,13,0.606,3.38,37,36,0,10,2,0,263.2,268,108,99,19,83,4,157,3,1,2,1101,1.331,130
7,"Dennis Eckersley\eckerde01","BOS",1,0,"1%",7.2,17,10,0.63,2.99,33,33,0,17,2,0,246.2,234,89,82,29,59,4,150,6,1,1,1018,1.188,149
7,"Aurelio Lopez\lopezau01","DET",1,0,"1%",5.3,10,5,0.667,2.41,61,0,49,0,0,21,127,95,37,34,12,51,3,106,3,0,3,519,1.15,181
