"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Bob Gibson\gibsobo01","STL",118,23,"98%",8.9,23,7,0.767,3.12,34,34,0,23,3,0,294,262,111,102,13,88,9,274,4,1,5,1213,1.19,133
2,"Gaylord Perry\perryga01","SFG",51,1,"43%",7.6,23,13,0.639,3.2,41,41,0,23,5,0,328.2,292,138,117,27,84,8,214,8,0,11,1336,1.144,125
3,"Fergie Jenkins\jenkife01","CHC",16,0,"13%",7.3,22,16,0.579,3.39,40,39,1,24,3,0,313,265,128,118,30,60,6,274,7,0,9,1265,1.038,132
4,"Dave Giusti\giustda01","PIT",8,0,"7%",1.7,9,3,0.75,3.06,66,1,47,0,0,26,103,98,38,35,7,39,9,85,0,0,5,428,1.33,128
4,"Jim Merritt\merriji01","CIN",8,0,"7%",2,20,12,0.625,4.08,35,35,0,12,1,0,234,248,114,106,21,53,12,136,1,0,4,984,1.286,103
6,"Gary Nolan\nolanga01","CIN",5,0,"4%",4.7,18,7,0.72,3.27,37,37,0,4,2,0,250.2,226,102,91,25,96,9,181,1,2,8,1052,1.285,128
7,"Tom Seaver\seaveto01","NYM",4,0,"3%",5.9,18,12,0.6,2.82,37,36,1,19,2,0,290.2,230,103,91,21,83,8,283,4,0,6,1173,1.077,143
8,"Wayne Granger\grangwa01","CIN",3,0,"3%",1.7,6,5,0.545,2.66,67,0,59,0,0,35,84.2,79,33,25,5,27,8,38,1,0,3,352,1.252,158
9,"Carl Morton\mortoca01","MON",2,0,"2%",4.1,18,11,0.621,3.6,43,37,1,10,4,0,284.2,281,123,114,27,125,17,154,4,3,2,1218,1.426,114
10,"Luke Walker\walkelu01","PIT",1,0,"1%",3.1,15,6,0.714,3.04,42,19,13,5,3,3,163,129,56,55,6,89,8,124,1,0,6,684,1.337,128
