"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Cliff Lee\leecl02","CLE",132,24,"94%",6.8,22,3,0.88,2.54,31,31,0,4,2,0,223.1,214,68,63,12,34,1,170,5,0,4,891,1.11,167
2,"Roy Halladay\hallaro01","TOR",71,4,"51%",6.2,20,11,0.645,2.78,34,33,0,9,2,0,246,220,88,76,18,39,3,206,12,0,4,987,1.053,152
3,"Francisco Rodriguez\rodrifr03","LAA",32,0,"23%",2.5,2,3,0.4,2.24,76,0,69,0,0,62,68.1,54,21,17,4,34,4,77,2,0,6,288,1.288,199
4,"Daisuke Matsuzaka\matsuda01","BOS",10,0,"7%",5.4,18,3,0.857,2.9,29,29,0,0,0,0,167.2,128,58,54,12,94,1,154,7,0,5,716,1.324,160
5,"Mariano Rivera\riverma01","NYY",3,0,"2%",4.3,6,5,0.545,1.4,64,0,60,0,0,39,70.2,41,11,11,4,6,0,77,2,0,1,259,0.665,316
6,"Mike Mussina\mussimi01","NYY",2,0,"1%",5.1,20,9,0.69,3.37,34,34,0,0,0,0,200.1,214,85,75,17,31,3,150,8,0,4,819,1.223,131
6,"Ervin Santana\santaer01","LAA",2,0,"1%",5.1,16,7,0.696,3.49,32,32,0,2,1,0,219,198,89,85,23,47,2,214,8,1,5,897,1.119,127
