"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Roger Clemens\clemero02","TOR",134,25,"96%",11.9,21,7,0.75,2.05,34,34,0,9,3,0,264,204,65,60,9,68,1,292,12,0,4,1044,1.03,222
2,"Randy Johnson\johnsra05","SEA",77,2,"55%",8,20,4,0.833,2.28,30,29,0,5,2,0,213,147,60,54,20,77,2,291,10,0,4,850,1.052,197
3,"Brad Radke\radkebr01","MIN",17,0,"12%",4.6,20,10,0.667,3.87,35,35,0,4,1,0,239.2,238,114,103,28,48,1,174,3,1,1,989,1.193,120
4,"Randy Myers\myersra01","BAL",14,1,"10%",3.1,2,3,0.4,1.51,61,0,57,0,0,45,59.2,47,12,10,2,22,2,56,0,0,3,241,1.156,293
5,"Andy Pettitte\pettian01","NYY",9,0,"6%",8.4,18,7,0.72,2.88,35,35,0,4,1,0,240.1,233,86,77,7,65,0,166,3,0,7,986,1.24,156
6,"Mike Mussina\mussimi01","BAL",1,0,"1%",5.5,15,8,0.652,3.2,33,33,0,4,1,0,224.2,197,87,80,27,54,3,218,3,0,5,905,1.117,137
