"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Roger Clemens\clemero02","TOR",140,28,"100%",8.1,20,6,0.769,2.65,33,33,0,5,3,0,234.2,169,78,69,11,88,0,271,7,0,6,961,1.095,174
2,"Pedro Martinez\martipe02","BOS",65,0,"46%",7.3,19,7,0.731,2.89,33,33,0,3,2,0,233.2,188,82,75,26,67,3,251,8,0,9,951,1.091,163
3,"David Wells\wellsda01","NYY",31,0,"22%",4.8,18,4,0.818,3.49,30,30,0,8,5,0,214.1,195,86,83,29,29,0,163,1,0,2,851,1.045,127
4,"David Cone\coneda01","NYY",16,0,"11%",4,20,7,0.741,3.55,31,31,0,3,0,0,207.2,186,89,82,20,59,1,209,15,0,6,866,1.18,125
