"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Tom Glavine\glavito02","ATL",110,19,"92%",8.5,20,11,0.645,2.55,34,34,0,9,1,0,246.2,201,83,70,17,69,6,192,2,2,10,989,1.095,153
2,"Lee Smith\smithle02","STL",60,4,"50%",2.3,6,3,0.667,2.34,67,0,61,0,0,47,73,70,19,19,5,13,5,67,0,0,1,300,1.137,158
3,"John Smiley\smilejo01","PIT",26,0,"22%",3.6,20,8,0.714,3.08,33,32,0,2,1,0,207.2,194,78,71,17,44,0,129,3,1,3,836,1.146,116
4,"Jose Rijo\rijojo01","CIN",13,1,"11%",5.5,15,6,0.714,2.51,30,30,0,3,1,0,204.1,165,69,57,8,55,4,172,3,4,2,825,1.077,153
5,"Dennis Martinez\martide01","MON",4,0,"3%",5.8,14,11,0.56,2.39,31,31,0,9,5,0,222,187,70,59,9,62,3,123,4,0,3,905,1.122,153
6,"Steve Avery\averyst01","ATL",1,0,"1%",5.2,18,8,0.692,3.38,35,35,0,3,1,0,210.1,189,89,79,21,65,0,137,3,1,4,868,1.208,116
6,"Andy Benes\benesan01","SDP",1,0,"1%",4.4,15,11,0.577,3.03,33,33,0,4,1,0,223,194,76,75,23,59,7,167,4,4,3,908,1.135,126
6,"Mitch Williams\willimi02","PHI",1,0,"1%",2.9,12,5,0.706,2.34,69,0,60,0,0,30,88.1,56,24,23,4,62,5,84,8,1,4,386,1.336,157
