"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Randy Johnson\johnsra05","ARI",156,30,"98%",10.1,21,6,0.778,2.49,35,34,1,3,2,0,249.2,181,74,69,19,71,2,372,18,1,8,994,1.009,188
2,"Curt Schilling\schilcu01","ARI",98,2,"61%",8.8,22,6,0.786,2.98,35,35,0,6,1,0,256.2,237,86,85,37,39,0,293,1,0,4,1021,1.075,157
3,"Matt Morris\morrima01","STL",31,0,"19%",4.1,22,8,0.733,3.16,34,34,0,2,1,0,216.1,218,86,76,13,54,3,185,13,1,5,909,1.257,137
4,"Jon Lieber\liebejo01","CHC",2,0,"1%",3.9,20,6,0.769,3.8,34,34,0,5,1,0,232.1,226,104,98,25,41,4,148,7,1,4,958,1.149,109
5,"Roy Oswalt\oswalro01","HOU",1,0,"1%",4.7,14,3,0.824,2.73,28,20,4,3,1,0,141.2,126,48,43,13,24,2,144,6,0,0,575,1.059,170
