"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Corey Kluber\klubeco01","CLE",169,17,"80%",8.3,18,9,0.667,2.44,34,34,0,3,1,0,235.2,207,72,64,14,51,3,269,6,0,3,951,1.095,160
2,"Felix Hernandez\hernafe02","SEA",159,13,"76%",6.4,15,6,0.714,2.14,34,34,0,0,0,0,236,170,68,56,16,46,1,248,5,0,18,912,0.915,170
3,"Chris Sale\salech01","CHW",78,0,"37%",6.1,12,4,0.75,2.17,26,26,0,2,0,0,174,129,48,42,13,39,2,208,11,0,3,685,0.966,173
4,"Jon Lester\lestejo01","TOT",46,0,"22%",4.7,16,11,0.593,2.46,32,32,0,1,1,0,219.2,194,76,60,16,48,0,220,5,0,3,885,1.102,158
5,"Max Scherzer\scherma01","DET",32,0,"15%",5.7,18,5,0.783,3.15,33,33,0,1,1,0,220.1,196,80,77,18,63,1,252,6,1,10,904,1.175,123
6,"David Price\priceda01","TOT",16,0,"8%",4.3,15,12,0.556,3.26,34,34,0,3,0,0,248.1,230,100,90,25,38,1,271,5,0,2,1009,1.079,115
7,"Phil Hughes\hugheph01","MIN",6,0,"3%",4.5,16,10,0.615,3.52,32,32,0,1,0,0,209.2,221,88,82,16,16,1,186,5,0,1,855,1.13,111
8,"Wade Davis\daviswa01","KCR",3,0,"1%",3.7,9,2,0.818,1,71,0,11,0,0,3,72,38,8,8,0,23,0,109,3,0,1,279,0.847,396
9,"Greg Holland\hollagr01","KCR",1,0,"0%",2.5,1,3,0.25,1.44,65,0,60,0,0,46,62.1,37,13,10,3,20,0,90,0,0,9,240,0.914,274
