"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Randy Johnson\johnsra05","SEA",136,26,"97%",8.6,18,2,0.9,2.48,30,30,0,6,3,0,214.1,159,65,59,12,65,1,294,6,2,5,866,1.045,193,"1995"
"2","Jose Mesa\mesajo01","CLE",54,2,"39%",3.9,3,0,1,1.13,62,0,57,0,0,46,64,49,9,8,3,17,2,58,0,0,5,250,1.031,418,"1995"
"3","Tim Wakefield\wakefti01","BOS",29,0,"21%",5,16,8,0.667,2.95,27,27,0,6,1,0,195.1,163,76,64,22,68,0,119,9,0,11,804,1.183,165,"1995"
"4","David Cone\coneda01","TOT",18,0,"13%",7,18,8,0.692,3.57,30,30,0,6,2,0,229.1,195,95,91,24,88,2,191,6,1,11,954,1.234,131,"1995"
"5","Mike Mussina\mussimi01","BAL",14,0,"10%",6.1,19,9,0.679,3.29,32,32,0,7,4,0,221.2,187,86,81,24,50,4,158,1,0,2,882,1.069,145,"1995"
"6","Charles Nagy\nagych01","CLE",1,0,"1%",2.4,16,6,0.727,4.55,29,29,0,2,1,0,178,194,95,90,20,61,0,139,6,0,2,771,1.433,103,"1995"
"7","Greg Maddux\maddugr01","ATL",140,28,"100%",9.7,19,2,0.905,1.63,28,28,0,10,3,0,209.2,147,39,38,8,23,3,181,4,0,1,785,0.811,260,"1995"
"8","Pete Schourek\schoupe01","CIN",55,0,"39%",4.1,18,7,0.72,3.22,29,29,0,2,0,0,190.1,158,72,68,17,45,3,160,8,1,1,754,1.067,128,"1995"
"9","Tom Glavine\glavito02","ATL",30,0,"21%",4.8,16,7,0.696,3.08,29,29,0,3,1,0,198.2,182,76,68,9,66,0,127,5,0,3,822,1.248,137,"1995"
"10","Hideo Nomo\nomohi01","LAD",29,0,"21%",4.7,13,6,0.684,2.54,28,28,0,4,3,0,191.1,124,63,54,14,78,2,236,5,5,19,780,1.056,149,"1995"
"11","Ramon Martinez\martira02","LAD",8,0,"6%",2.3,17,7,0.708,3.66,30,30,0,4,2,0,206.1,176,95,84,19,81,5,138,5,0,3,859,1.246,103,"1995"
