"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Bret Saberhagen\saberbr01","KCR",138,27,"99%",9.7,23,6,0.793,2.16,36,35,0,12,4,0,262.1,209,74,63,13,43,6,193,2,1,8,1021,0.961,180,"1989"
"2","Dave Stewart\stewada01","OAK",80,1,"57%",3.8,21,9,0.7,3.32,36,36,0,8,0,0,257.2,260,105,95,23,69,0,155,6,0,13,1081,1.277,112,"1989"
"3","Mike Moore\mooremi01","OAK",10,0,"7%",5.5,19,11,0.633,2.61,35,35,0,6,3,0,241.2,193,82,70,14,83,1,172,2,0,17,976,1.142,142,"1989"
"4","Bert Blyleven\blylebe01","CAL",9,0,"6%",6,17,5,0.773,2.73,33,33,0,8,5,0,241,225,76,73,14,44,2,131,8,0,2,973,1.116,140,"1989"
"5","Nolan Ryan\ryanno01","TEX",5,0,"4%",5.1,16,10,0.615,3.2,32,32,0,6,2,0,239.1,162,96,85,17,98,3,301,9,1,19,988,1.086,124,"1989"
"6","Jeff Ballard\ballaje01","BAL",3,0,"2%",2.5,18,8,0.692,3.43,35,35,0,4,1,0,215.1,240,95,82,16,57,5,62,4,0,3,912,1.379,110,"1989"
"7","Dennis Eckersley\eckerde01","OAK",3,0,"2%",2.6,4,0,1,1.56,51,0,46,0,0,33,57.2,32,10,10,5,3,0,55,1,0,0,206,0.607,239,"1989"
"8","Gregg Olson\olsongr01","BAL",3,0,"2%",3.3,5,2,0.714,1.69,64,0,52,0,0,27,85,57,17,16,1,46,10,90,1,3,9,356,1.212,224,"1989"
"9","Jeff Russell\russeje01","TEX",1,0,"1%",2.5,6,4,0.6,1.98,71,0,66,0,0,38,72.2,45,21,16,4,24,5,77,3,0,6,278,0.95,201,"1989"
"10","Mark Davis\davisma01","SDP",107,19,"89%",4.4,4,3,0.571,1.85,70,0,65,0,0,44,92.2,66,21,19,6,31,1,92,2,0,8,370,1.047,191,"1989"
"11","Mike Scott\scottmi03","HOU",65,4,"54%",2.9,20,10,0.667,3.1,33,32,1,9,2,0,229,180,87,79,23,62,12,172,3,0,7,924,1.057,110,"1989"
"12","Greg Maddux\maddugr01","CHC",17,0,"14%",5.1,19,12,0.613,2.95,35,35,0,7,1,0,238.1,222,90,78,13,82,13,135,6,3,5,1002,1.276,129,"1989"
"13","Orel Hershiser\hershor01","LAD",7,1,"6%",7,15,15,0.5,2.31,35,33,0,8,4,0,256.2,226,75,66,9,77,14,178,3,4,8,1047,1.181,149,"1989"
"14","Joe Magrane\magrajo01","STL",7,0,"6%",3.5,18,9,0.667,2.91,34,33,1,9,3,0,234.2,219,81,76,5,72,7,127,6,5,14,971,1.24,124,"1989"
"15","Tim Belcher\belchti01","LAD",4,0,"3%",4.1,15,12,0.556,2.82,39,30,6,10,8,1,230,182,81,72,20,80,5,200,7,2,7,937,1.139,122,"1989"
"16","Scott Garrelts\garresc01","SFG",4,0,"3%",4.1,14,5,0.737,2.28,30,29,0,2,1,0,193.1,149,58,49,11,46,3,119,0,2,7,766,1.009,148,"1989"
"17","Rick Reuschel\reuscri01","SFG",3,0,"3%",2.7,17,8,0.68,2.94,32,32,0,2,0,0,208.1,195,75,68,18,54,4,111,2,0,1,860,1.195,115,"1989"
"18","Mike Bielecki\bielemi01","CHC",1,0,"1%",4.3,18,7,0.72,3.14,33,33,0,4,3,0,212.1,187,82,74,16,81,8,147,0,4,9,882,1.262,121,"1989"
"19","Mitch Williams\willimi02","CHC",1,0,"1%",2.3,4,4,0.5,2.76,76,0,61,0,0,36,81.2,71,27,25,6,52,4,67,8,4,6,365,1.506,138,"1989"
