"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Zack Greinke\greinza01","KCR",134,25,"96%",10.4,16,8,0.667,2.16,33,33,0,6,3,0,229.1,195,64,55,11,51,0,242,4,0,5,915,1.073,205,"2009"
"2","Felix Hernandez\hernafe02","SEA",80,2,"57%",5.9,19,5,0.792,2.49,34,34,0,2,1,0,238.2,200,81,66,15,71,0,217,8,1,17,977,1.135,171,"2009"
"3","Justin Verlander\verlaju01","DET",14,1,"10%",5.5,19,9,0.679,3.45,35,35,0,3,1,0,240,219,99,92,20,63,5,269,6,4,8,982,1.175,131,"2009"
"4","CC Sabathia\sabatc.01","NYY",13,0,"9%",6.2,19,8,0.704,3.37,34,34,0,2,1,0,230,197,96,86,18,67,7,197,9,0,5,938,1.148,137,"2009"
"5","Roy Halladay\hallaro01","TOR",11,0,"8%",6.9,17,10,0.63,2.79,32,32,0,9,4,0,239,234,82,74,22,35,0,208,5,0,2,963,1.126,159,"2009"
"6","Tim Lincecum\linceti01","SFG",100,11,"63%",7.4,15,7,0.682,2.48,32,32,0,4,2,0,225.1,168,69,62,10,68,2,261,6,0,11,905,1.047,171,"2009"
"7","Chris Carpenter\carpech01","STL",94,9,"59%",6.5,17,4,0.81,2.24,28,28,0,3,1,0,192.2,156,49,48,7,38,1,144,7,0,1,750,1.007,182,"2009"
"8","Adam Wainwright\wainwad01","STL",90,12,"56%",6.3,19,8,0.704,2.63,34,34,0,1,0,0,233,216,75,68,17,66,1,212,3,0,7,970,1.21,155,"2009"
"9","Javier Vazquez\vazquja01","ATL",3,0,"2%",6.2,15,10,0.6,2.87,32,32,0,3,0,0,219.1,181,75,70,20,44,2,238,4,0,6,874,1.026,143,"2009"
"10","Dan Haren\harenda01","ARI",1,0,"1%",6.5,14,10,0.583,3.14,33,33,0,3,1,0,229.1,192,83,80,27,38,2,223,4,0,13,909,1.003,142,"2009"
