"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Pete Vuckovich\vuckope01","MIL",87,14,"62%",2.8,18,6,0.75,3.34,30,30,0,9,1,0,223.2,234,96,83,14,102,1,105,5,0,6,971,1.502,114,"1982"
"2","Jim Palmer\palmeji01","BAL",59,4,"42%",4.8,15,5,0.75,3.13,36,32,1,8,2,1,227,195,85,79,22,63,1,103,4,1,2,920,1.137,129,"1982"
"3","Dan Quisenberry\quiseda01","KCR",40,4,"29%",3.3,9,7,0.563,2.57,72,0,68,0,0,35,136.2,126,43,39,12,12,2,46,0,0,1,529,1.01,159,"1982"
"4","Dave Stieb\stiebda01","TOR",36,5,"26%",7.7,17,14,0.548,3.25,38,38,0,19,5,0,288.1,271,116,104,27,75,4,141,5,1,3,1187,1.2,138,"1982"
"5","Rick Sutcliffe\sutclri01","CLE",14,1,"10%",5.7,14,8,0.636,2.96,34,27,3,6,1,1,216,174,81,71,16,98,2,142,4,1,6,887,1.259,140,"1982"
"6","Geoff Zahn\zahnge01","CAL",7,0,"5%",2.8,18,8,0.692,3.73,34,34,0,12,4,0,229.1,225,100,95,18,65,5,81,4,0,2,944,1.265,109,"1982"
"7","Bill Caudill\caudibi01","SEA",4,0,"3%",4.4,12,9,0.571,2.35,70,0,64,0,0,26,95.2,65,25,25,9,35,4,111,1,0,2,380,1.045,181,"1982"
"8","Bob Stanley\stanlbo01","BOS",4,0,"3%",4.5,12,7,0.632,3.1,48,0,33,0,0,14,168.1,161,60,58,11,50,6,83,4,0,2,694,1.253,140,"1982"
"9","Dan Petry\petryda01","DET",1,0,"1%",4.2,15,9,0.625,3.22,35,35,0,8,1,0,246,220,98,88,15,100,5,132,4,0,9,1031,1.301,126,"1982"
"10","Steve Carlton\carltst01","PHI",112,20,"93%",5.5,23,11,0.676,3.1,38,38,0,19,6,0,295.2,253,114,102,17,86,5,286,1,9,9,1193,1.147,119,"1982"
"11","Steve Rogers\rogerst01","MON",29,1,"24%",7.7,19,8,0.704,2.4,35,35,0,14,4,0,277,245,84,74,12,65,7,179,6,0,3,1122,1.119,152,"1982"
"12","Bruce Sutter\suttebr01","STL",25,2,"21%",1,9,8,0.529,2.9,70,0,58,0,0,36,102.1,88,38,33,8,34,13,61,3,0,5,424,1.192,126,"1982"
"13","Fernando Valenzuela\valenfe01","LAD",25,1,"21%",5,19,13,0.594,2.87,37,37,0,18,4,0,285,247,105,91,13,83,12,199,2,0,4,1156,1.158,122,"1982"
"14","Phil Niekro\niekrph01","ATL",18,0,"15%",3.1,17,4,0.81,3.61,35,35,0,4,2,0,234.1,225,106,94,23,73,1,144,3,1,4,969,1.272,104,"1982"
"15","Greg Minton\mintogr01","SFG",4,0,"3%",5.4,10,4,0.714,1.83,78,0,66,0,0,30,123,108,29,25,5,42,17,58,2,0,7,496,1.22,196,"1982"
"16","Joaquin Andujar\andujjo01","STL",1,0,"1%",5.8,15,10,0.6,2.47,38,37,1,9,5,0,265.2,237,85,73,11,50,7,137,7,2,3,1056,1.08,148,"1982"
"17","Gene Garber\garbege01","ATL",1,0,"1%",2.7,8,10,0.444,2.34,69,0,56,0,0,30,119.1,100,40,31,4,32,16,68,2,0,1,480,1.106,161,"1982"
"18","Mario Soto\sotoma01","CIN",0,0,"0%",7.5,14,13,0.519,2.79,35,34,1,13,2,0,257.2,202,88,80,19,71,3,274,4,1,6,1033,1.06,132,"1982"
