"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Frank Viola\violafr01","MIN",138,27,"99%",7.7,24,7,0.774,2.64,35,35,0,7,2,0,255.1,236,80,75,20,54,2,193,3,1,5,1031,1.136,154,"1988"
"2","Dennis Eckersley\eckerde01","OAK",52,1,"37%",2.3,4,2,0.667,2.35,60,0,53,0,0,45,72.2,52,20,19,5,11,2,70,1,2,0,279,0.867,163,"1988"
"3","Mark Gubicza\gubicma01","KCR",26,0,"19%",7.8,20,8,0.714,2.7,35,35,0,8,4,0,269.2,237,94,81,11,83,3,183,6,4,12,1111,1.187,149,"1988"
"4","Dave Stewart\stewada01","OAK",16,0,"11%",4.5,21,12,0.636,3.23,37,37,0,14,2,0,275.2,240,111,99,14,110,5,192,3,16,14,1156,1.27,118,"1988"
"5","Bruce Hurst\hurstbr01","BOS",12,0,"9%",3.4,18,6,0.75,3.66,33,32,0,7,1,0,216.2,222,98,88,21,65,1,166,2,3,5,922,1.325,113,"1988"
"6","Roger Clemens\clemero02","BOS",8,0,"6%",7.1,18,12,0.6,2.93,35,35,0,14,8,0,264,217,93,86,17,62,4,291,6,7,4,1063,1.057,141,"1988"
"7","Orel Hershiser\hershor01","LAD",120,24,"100%",7.2,23,8,0.742,2.26,35,34,1,15,8,1,267,208,73,67,18,73,10,178,4,5,6,1068,1.052,149,"1988"
"8","Danny Jackson\jacksda02","CIN",54,0,"45%",5,23,8,0.742,2.73,35,35,0,15,6,0,260.2,206,86,79,13,71,6,161,2,2,5,1034,1.063,132,"1988"
"9","David Cone\coneda01","NYM",42,0,"35%",5.5,20,3,0.87,2.22,35,28,0,8,4,0,231.1,178,67,57,10,80,7,213,4,10,10,936,1.115,145,"1988"
