"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Willie Hernandez\hernawi01","DET",88,12,"63%",4.8,9,3,0.75,1.92,80,0,68,0,0,32,140.1,96,30,30,6,36,8,112,4,0,2,548,0.941,204,"1984"
"2","Dan Quisenberry\quiseda01","KCR",71,9,"51%",3.3,6,3,0.667,2.64,72,0,67,0,0,44,129.1,121,39,38,10,12,4,41,0,0,0,506,1.028,152,"1984"
"3","Bert Blyleven\blylebe01","CLE",45,4,"32%",7.3,19,7,0.731,2.87,33,32,0,12,4,0,245,204,86,78,19,74,4,170,6,0,6,1004,1.135,144,"1984"
"4","Mike Boddicker\boddimi01","BAL",41,3,"29%",5.2,20,11,0.645,2.79,34,34,0,16,4,0,261.1,218,95,81,23,81,1,128,5,1,6,1051,1.144,139,"1984"
"5","Dan Petry\petryda01","DET",3,0,"2%",3.5,18,8,0.692,3.24,35,35,0,7,2,0,233.1,231,94,84,21,66,4,144,3,0,7,968,1.273,121,"1984"
"6","Frank Viola\violafr01","MIN",2,0,"1%",4.5,18,12,0.6,3.21,35,35,0,10,4,0,257.2,225,101,92,28,73,1,149,4,1,6,1047,1.157,131,"1984"
"7","Jack Morris\morrija02","DET",1,0,"1%",2.5,19,11,0.633,3.6,35,35,0,9,1,0,240.1,221,108,96,20,87,7,148,2,0,14,1015,1.282,109,"1984"
"8","Dave Stieb\stiebda01","TOR",1,0,"1%",8,16,8,0.667,2.83,35,35,0,11,2,0,267,215,87,84,19,88,1,198,11,0,2,1085,1.135,146,"1984"
"9","Rick Sutcliffe\sutclri01","CHC",120,24,"100%",3.9,16,1,0.941,2.69,20,20,0,7,3,0,150.1,123,53,45,9,39,0,155,1,2,3,602,1.078,144,"1984"
"10","Dwight Gooden\goodedw01","NYM",45,0,"38%",5.5,17,9,0.654,2.6,31,31,0,7,3,0,218,161,72,63,7,73,2,276,2,7,3,879,1.073,137,"1984"
"11","Bruce Sutter\suttebr01","STL",33,0,"28%",4.5,5,7,0.417,1.54,71,0,63,0,0,45,122.2,109,26,21,9,23,4,77,1,0,2,477,1.076,227,"1984"
"12","Joaquin Andujar\andujjo01","STL",12,0,"10%",3.4,20,14,0.588,3.34,36,36,0,12,4,0,261.1,218,104,97,20,70,13,147,7,4,6,1052,1.102,105,"1984"
"13","Rich Gossage\gossari01","SDP",3,0,"3%",1.7,10,6,0.625,2.9,62,0,51,0,0,25,102.1,75,34,33,6,36,4,84,1,2,2,412,1.085,124,"1984"
"14","Mario Soto\sotoma01","CIN",2,0,"2%",4.5,18,7,0.72,3.53,33,33,0,13,0,0,237.1,181,102,93,26,87,6,185,5,0,3,971,1.129,107,"1984"
