"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","David Price\priceda01","TBR",153,14,"78%",6.6,20,5,0.8,2.56,31,31,0,2,1,0,211,173,63,60,16,59,2,205,5,1,8,836,1.1,150,"2012"
"2","Justin Verlander\verlaju01","DET",149,13,"76%",8.1,17,8,0.68,2.64,33,33,0,6,1,0,238.1,192,81,70,19,60,2,239,5,1,2,956,1.057,161,"2012"
"3","Jered Weaver\weaveje02","LAA",70,0,"36%",4.3,20,5,0.8,2.81,30,30,0,3,2,0,188.2,147,63,59,20,45,0,142,4,0,2,739,1.018,135,"2012"
"4","Felix Hernandez\hernafe02","SEA",41,0,"21%",5.3,13,9,0.591,3.06,33,33,0,5,5,0,232,209,84,79,14,56,0,223,12,2,13,939,1.142,124,"2012"
"5","Fernando Rodney\rodnefe01","TBR",38,1,"19%",3.7,2,2,0.5,0.6,76,0,65,0,0,48,74.2,43,9,5,2,15,1,76,3,0,4,282,0.777,641,"2012"
"6","Chris Sale\salech01","CHW",17,0,"9%",5.7,17,8,0.68,3.05,30,29,0,1,0,0,192,167,66,65,19,51,5,192,6,0,6,772,1.135,140,"2012"
"7","Jim Johnson\johnsji04","BAL",5,0,"3%",2.4,2,1,0.667,2.49,71,0,63,0,0,51,68.2,55,21,19,3,15,1,41,3,0,1,269,1.019,170,"2012"
"8","Matt Harrison\harrima01","TEX",2,0,"1%",5.8,18,11,0.621,3.29,32,32,0,4,2,0,213.1,210,82,78,22,59,0,133,1,0,2,876,1.261,133,"2012"
"9","Yu Darvish\darviyu01","TEX",1,0,"1%",3.5,16,9,0.64,3.9,29,29,0,0,0,0,191.1,156,89,83,14,89,1,221,10,0,8,816,1.28,112,"2012"
"10","R.A. Dickey\dicker.01","NYM",209,27,"93%",5.7,20,6,0.769,2.73,34,33,1,5,3,0,233.2,192,78,71,24,54,2,230,9,1,4,927,1.053,139,"2012"
"11","Clayton Kershaw\kershcl01","LAD",96,2,"43%",6.4,14,9,0.609,2.53,33,33,0,2,2,0,227.2,170,70,64,16,63,5,229,5,2,6,901,1.023,150,"2012"
"12","Gio Gonzalez\gonzagi01","WSN",93,1,"42%",5,21,8,0.724,2.89,32,32,0,2,1,0,199.1,149,69,64,9,76,3,207,5,1,10,822,1.129,138,"2012"
"13","Johnny Cueto\cuetojo01","CIN",75,1,"33%",5.2,19,9,0.679,2.78,33,33,0,2,0,0,217,205,73,67,15,49,5,170,12,3,1,888,1.171,148,"2012"
"14","Craig Kimbrel\kimbrcr01","ATL",41,1,"18%",3.2,3,1,0.75,1.01,63,0,56,0,0,42,62.2,27,7,7,3,14,0,116,2,0,5,231,0.654,399,"2012"
"15","Matt Cain\cainma01","SFG",22,0,"10%",3.8,16,5,0.762,2.79,32,32,0,2,2,0,219.1,177,73,68,21,51,1,193,9,0,8,876,1.04,126,"2012"
"16","Kyle Lohse\lohseky01","STL",6,0,"3%",4,16,3,0.842,2.86,33,33,0,0,0,0,211,192,74,67,19,38,1,143,4,0,1,864,1.09,133,"2012"
"17","Aroldis Chapman\chapmar01","CIN",1,0,"0%",3.4,5,5,0.5,1.51,68,0,52,0,0,38,71.2,35,13,12,4,23,0,122,4,0,4,276,0.809,274,"2012"
"18","Cole Hamels\hamelco01","PHI",1,0,"0%",4.5,17,6,0.739,3.05,31,31,0,2,2,0,215.1,190,80,73,24,52,3,216,3,2,3,867,1.124,132,"2012"
