"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Mike Flanagan\flanami01","BAL",136,26,"97%",3.9,23,9,0.719,3.08,39,38,0,16,5,0,265.2,245,107,91,23,70,1,190,3,0,6,1085,1.186,131,"1979"
"2","Tommy John\johnto01","NYY",51,1,"36%",5.5,21,9,0.7,2.96,37,36,1,17,3,0,276.1,268,109,91,9,65,1,111,4,1,11,1116,1.205,137,"1979"
"3","Ron Guidry\guidrro01","NYY",26,1,"19%",6.6,18,8,0.692,2.78,33,30,3,15,2,2,236.1,203,83,73,20,71,0,201,0,0,9,946,1.159,146,"1979"
"4","Jim Kern\kernji01","TEX",25,0,"18%",6.2,13,5,0.722,1.57,71,0,57,0,0,29,143,99,35,25,5,62,6,136,2,0,5,578,1.126,264,"1979"
"5","Mike Marshall\marshmi01","MIN",7,0,"5%",4.5,10,15,0.4,2.65,90,1,84,0,0,32,142.2,132,47,42,8,48,2,81,4,1,8,586,1.262,166,"1979"
"6","Jerry Koosman\koosmje01","MIN",5,0,"4%",7.2,20,13,0.606,3.38,37,36,0,10,2,0,263.2,268,108,99,19,83,4,157,3,1,2,1101,1.331,130,"1979"
"7","Dennis Eckersley\eckerde01","BOS",1,0,"1%",7.2,17,10,0.63,2.99,33,33,0,17,2,0,246.2,234,89,82,29,59,4,150,6,1,1,1018,1.188,149,"1979"
"8","Aurelio Lopez\lopezau01","DET",1,0,"1%",5.3,10,5,0.667,2.41,61,0,49,0,0,21,127,95,37,34,12,51,3,106,3,0,3,519,1.15,181,"1979"
"9","Bruce Sutter\suttebr01","CHC",72,10,"60%",4.9,6,6,0.5,2.22,62,0,56,0,0,37,101.1,67,29,25,3,32,5,110,0,0,9,403,0.977,188,"1979"
"10","Joe Niekro\niekrjo01","HOU",66,9,"55%",3.5,21,11,0.656,3,38,38,0,11,5,0,263.2,221,102,88,17,107,1,119,7,0,19,1095,1.244,117,"1979"
"11","J.R. Richard\richaj.01","HOU",41,4,"34%",5.6,18,13,0.581,2.71,38,38,0,19,4,0,292.1,220,98,88,13,98,5,313,3,1,19,1175,1.088,130,"1979"
"12","Tom Seaver\seaveto01","CIN",20,0,"17%",3.4,16,6,0.727,3.14,32,32,0,9,5,0,215,187,85,75,16,61,6,131,0,0,4,868,1.153,121,"1979"
"13","Kent Tekulve\tekulke01","PIT",14,1,"12%",3.2,10,8,0.556,2.75,94,0,67,0,0,31,134.1,109,46,41,5,49,20,75,2,0,4,550,1.176,142,"1979"
"14","Phil Niekro\niekrph01","ATL",3,0,"3%",7.4,21,20,0.512,3.39,44,44,0,23,1,0,342,311,160,129,41,113,8,208,11,4,18,1436,1.24,119,"1979"
