"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Pat Hentgen\hentgpa01","TOR",110,16,"79%",8.6,20,10,0.667,3.22,35,35,0,10,3,0,265.2,238,105,95,20,94,3,177,5,0,8,1100,1.25,156,"1996"
"2","Andy Pettitte\pettian01","NYY",104,11,"74%",5.6,21,8,0.724,3.87,35,34,1,2,0,0,221,229,105,95,23,72,2,162,3,1,6,929,1.362,129,"1996"
"3","Mariano Rivera\riverma01","NYY",18,1,"13%",5,8,3,0.727,2.09,61,0,14,0,0,5,107.2,73,25,25,1,34,3,130,2,0,1,425,0.994,240,"1996"
"4","Charles Nagy\nagych01","CLE",12,0,"9%",6.6,17,5,0.773,3.41,32,32,0,5,0,0,222,217,89,84,21,61,2,167,3,0,7,921,1.252,143,"1996"
"5","Mike Mussina\mussimi01","BAL",5,0,"4%",3.7,19,11,0.633,4.81,36,36,0,4,1,0,243.1,264,137,130,31,69,0,204,3,0,3,1039,1.368,103,"1996"
"6","Alex Fernandez\fernaal01","CHW",1,0,"1%",6.4,16,10,0.615,3.45,35,35,0,6,1,0,258,248,110,99,34,72,4,200,7,0,5,1071,1.24,138,"1996"
"7","Roberto Hernandez\hernaro01","CHW",1,0,"1%",4.1,6,5,0.545,1.91,72,0,61,0,0,38,84.2,65,21,18,2,38,5,85,0,0,6,355,1.217,249,"1996"
"8","Ken Hill\hillke01","TEX",1,0,"1%",6.6,16,10,0.615,3.63,35,35,0,7,3,0,250.2,250,110,101,19,95,3,170,6,4,5,1061,1.376,145,"1996"
"9","John Smoltz\smoltjo01","ATL",136,26,"97%",7.4,24,8,0.75,2.94,35,35,0,6,2,0,253.2,199,93,83,19,55,3,276,2,1,10,995,1.001,149,"1996"
"10","Kevin Brown\brownke01","FLA",88,2,"63%",7.9,17,11,0.607,1.89,32,32,0,5,3,0,233,187,60,49,8,33,2,159,16,1,6,906,0.944,215,"1996"
"11","Andy Benes\benesan01","STL",9,0,"6%",2.4,18,10,0.643,3.83,36,34,1,3,1,1,230.1,215,107,98,28,77,7,160,6,0,6,963,1.268,109,"1996"
"12","Hideo Nomo\nomohi01","LAD",5,0,"4%",4.7,16,11,0.593,3.19,33,33,0,3,2,0,228.1,180,93,81,23,85,6,234,2,3,11,932,1.161,122,"1996"
"13","Trevor Hoffman\hoffmtr01","SDP",4,0,"3%",3.8,9,5,0.643,2.25,70,0,62,0,0,42,88,50,23,22,6,31,5,111,2,0,2,348,0.92,177,"1996"
"14","Greg Maddux\maddugr01","ATL",4,0,"3%",7.2,15,11,0.577,2.72,35,35,0,5,1,0,245,225,85,74,11,28,11,172,3,0,4,978,1.033,162,"1996"
"15","Todd Worrell\worreto01","LAD",4,0,"3%",0.9,4,6,0.4,3.03,72,0,67,0,0,44,65.1,70,29,22,5,15,1,66,2,1,4,285,1.301,129,"1996"
"16","Denny Neagle\neaglde01","TOT",2,0,"1%",6,16,9,0.64,3.5,33,33,0,2,0,0,221.1,226,93,86,26,48,2,149,3,1,3,910,1.238,126,"1996"
"17","Jeff Fassero\fasseje01","MON",1,0,"1%",5.6,15,11,0.577,3.3,34,34,0,5,1,0,231.2,217,95,85,20,55,3,222,3,2,5,967,1.174,131,"1996"
"18","Al Leiter\leiteal01","FLA",1,0,"1%",5.5,16,12,0.571,2.93,33,33,0,2,1,0,215.1,153,74,70,14,119,3,200,11,0,5,896,1.263,139,"1996"
"19","Shane Reynolds\reynosh01","HOU",1,0,"1%",3.6,16,10,0.615,3.65,35,35,0,4,1,0,239,227,103,97,20,44,3,204,8,1,5,981,1.134,105,"1996"
