"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Cliff Lee\leecl02","CLE",132,24,"94%",6.8,22,3,0.88,2.54,31,31,0,4,2,0,223.1,214,68,63,12,34,1,170,5,0,4,891,1.11,167,"2008"
"2","Roy Halladay\hallaro01","TOR",71,4,"51%",6.2,20,11,0.645,2.78,34,33,0,9,2,0,246,220,88,76,18,39,3,206,12,0,4,987,1.053,152,"2008"
"3","Francisco Rodriguez\rodrifr03","LAA",32,0,"23%",2.5,2,3,0.4,2.24,76,0,69,0,0,62,68.1,54,21,17,4,34,4,77,2,0,6,288,1.288,199,"2008"
"4","Daisuke Matsuzaka\matsuda01","BOS",10,0,"7%",5.4,18,3,0.857,2.9,29,29,0,0,0,0,167.2,128,58,54,12,94,1,154,7,0,5,716,1.324,160,"2008"
"5","Mariano Rivera\riverma01","NYY",3,0,"2%",4.3,6,5,0.545,1.4,64,0,60,0,0,39,70.2,41,11,11,4,6,0,77,2,0,1,259,0.665,316,"2008"
"6","Mike Mussina\mussimi01","NYY",2,0,"1%",5.1,20,9,0.69,3.37,34,34,0,0,0,0,200.1,214,85,75,17,31,3,150,8,0,4,819,1.223,131,"2008"
"7","Ervin Santana\santaer01","LAA",2,0,"1%",5.1,16,7,0.696,3.49,32,32,0,2,1,0,219,198,89,85,23,47,2,214,8,1,5,897,1.119,127,"2008"
"8","Tim Lincecum\linceti01","SFG",137,23,"86%",7.8,18,5,0.783,2.62,34,33,0,2,1,0,227,182,72,66,11,84,1,265,6,2,17,928,1.172,168,"2008"
"9","Brandon Webb\webbbr01","ARI",73,4,"46%",5.7,22,7,0.759,3.3,34,34,0,3,1,0,226.2,206,95,83,13,65,5,183,12,1,8,944,1.196,140,"2008"
"10","Johan Santana\santajo02","NYM",55,4,"34%",7.1,16,7,0.696,2.53,34,34,0,3,2,0,234.1,206,74,66,23,63,5,206,4,2,9,964,1.148,166,"2008"
"11","Brad Lidge\lidgebr01","PHI",10,0,"6%",2.4,2,0,1,1.95,72,0,61,0,0,41,69.1,50,17,15,2,35,4,92,1,0,5,292,1.226,224,"2008"
"12","CC Sabathia\sabatc.01","MIL",9,1,"6%",4.9,11,2,0.846,1.65,17,17,0,7,3,0,130.2,106,31,24,6,25,0,128,4,0,1,516,1.003,255,"2008"
"13","Ryan Dempster\dempsry01","CHC",4,0,"3%",6.9,17,6,0.739,2.96,33,33,0,1,0,0,206.2,174,75,68,14,76,1,187,7,0,5,856,1.21,154,"2008"
