"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Mike Cuellar\cuellmi01","BAL",10,10,"42%",4.5,23,11,0.676,2.38,39,39,0,18,5,0,290.2,213,94,77,18,79,7,182,1,2,3,1137,1.005,149,"1969"
"2","Denny McLain\mclaide01","DET",10,10,"42%",8.1,24,9,0.727,2.8,42,41,0,23,9,0,325,288,105,101,25,67,7,181,4,2,5,1304,1.092,134,"1969"
"3","Jim Perry\perryji01","MIN",3,3,"13%",6.3,20,6,0.769,2.82,46,36,4,12,3,0,261.2,244,87,82,18,66,10,153,9,0,3,1079,1.185,131,"1969"
"4","Dave McNally\mcnalda01","BAL",1,1,"4%",2.4,20,7,0.741,3.22,41,40,0,11,4,0,268.2,232,103,96,21,84,6,166,5,1,4,1093,1.176,111,"1969"
"5","Tom Seaver\seaveto01","NYM",23,23,"96%",7.2,25,7,0.781,2.21,36,35,1,18,5,0,273.1,202,75,67,24,82,9,208,7,1,8,1089,1.039,165,"1969"
"6","Phil Niekro\niekrph01","ATL",1,1,"4%",6,23,13,0.639,2.56,40,35,4,21,4,1,284.1,235,93,81,21,57,7,193,5,0,15,1143,1.027,142,"1969"
