"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Justin Verlander\verlaju01","DET",196,28,"100%",8.6,24,5,0.828,2.4,34,34,0,4,2,0,251,174,73,67,24,57,0,250,3,2,7,969,0.92,172,"2011"
"2","Jered Weaver\weaveje02","LAA",97,0,"49%",6.9,18,8,0.692,2.41,33,33,0,4,2,0,235.2,182,65,63,20,56,0,198,3,0,8,926,1.01,156,"2011"
"3","James Shields\shielja02","TBR",66,0,"34%",5.8,16,12,0.571,2.82,33,33,0,11,4,0,249.1,195,83,78,26,65,1,225,5,0,4,975,1.043,134,"2011"
"4","CC Sabathia\sabatc.01","NYY",63,0,"32%",6.4,19,8,0.704,3,33,33,0,3,1,0,237.1,230,87,79,17,61,4,230,7,1,2,985,1.226,143,"2011"
"5","Jose Valverde\valvejo01","DET",28,0,"14%",2,2,4,0.333,2.24,75,0,70,0,0,49,72.1,52,21,18,5,34,4,69,3,1,3,301,1.189,185,"2011"
"6","C.J. Wilson\wilsocj01","TEX",9,0,"5%",4.9,16,7,0.696,2.94,34,34,0,3,1,0,223.1,191,89,73,16,74,0,206,10,0,6,915,1.187,150,"2011"
"7","Dan Haren\harenda01","LAA",7,0,"4%",4.1,16,10,0.615,3.17,35,34,1,4,3,0,238.1,211,91,84,20,33,1,192,5,0,6,953,1.024,119,"2011"
"8","Mariano Rivera\riverma01","NYY",4,0,"2%",2.9,1,2,0.333,1.91,64,0,54,0,0,44,61.1,47,13,13,3,8,2,60,2,0,1,233,0.897,226,"2011"
"9","Josh Beckett\beckejo02","BOS",3,0,"2%",5.8,13,7,0.65,2.89,30,30,0,1,1,0,193,146,65,62,21,52,1,175,9,0,6,767,1.026,149,"2011"
"10","Ricky Romero\romerri01","TOR",2,0,"1%",6.4,15,11,0.577,2.92,32,32,0,4,2,0,225,176,85,73,26,80,2,178,14,1,9,917,1.138,146,"2011"
"11","David Robertson\roberda08","NYY",1,0,"1%",3.7,4,0,1,1.08,70,0,8,0,0,1,66.2,40,9,8,1,35,6,100,1,1,6,272,1.125,399,"2011"
"12","Clayton Kershaw\kershcl01","LAD",207,27,"92%",6.7,21,5,0.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,0.977,161,"2011"
"13","Roy Halladay\hallaro01","PHI",133,4,"59%",8.8,19,6,0.76,2.35,32,32,0,8,1,0,233.2,208,65,61,10,35,4,220,4,1,2,933,1.04,163,"2011"
"14","Cliff Lee\leecl02","PHI",90,0,"40%",8.5,17,8,0.68,2.4,32,32,0,6,6,0,232.2,197,66,62,18,42,0,238,6,0,0,920,1.027,160,"2011"
"15","Ian Kennedy\kenneia01","ARI",76,1,"34%",4.8,21,4,0.84,2.88,33,33,0,1,1,0,222,186,73,71,19,55,0,198,9,1,11,900,1.086,137,"2011"
"16","Cole Hamels\hamelco01","PHI",17,0,"8%",6.4,14,9,0.609,2.79,32,31,0,3,0,0,216,169,68,67,19,44,2,194,5,3,3,850,0.986,137,"2011"
"17","Tim Lincecum\linceti01","SFG",7,0,"3%",3.7,13,14,0.481,2.74,33,33,0,1,1,0,217,176,74,66,15,86,5,220,6,0,9,900,1.207,127,"2011"
"18","Yovani Gallardo\gallayo01","MIL",5,0,"2%",2.3,17,10,0.63,3.52,33,33,0,1,1,0,207.1,193,92,81,27,59,1,207,1,0,12,865,1.215,112,"2011"
"19","Matt Cain\cainma01","SFG",3,0,"1%",3.1,12,11,0.522,2.88,33,33,0,1,0,0,221.2,177,82,71,9,63,5,179,9,0,4,907,1.083,121,"2011"
"20","John Axford\axforjo01","MIL",2,0,"1%",2.3,2,2,0.5,1.95,74,0,63,0,0,46,73.2,59,19,16,4,25,1,86,0,0,8,305,1.14,202,"2011"
"21","Craig Kimbrel\kimbrcr01","ATL",2,0,"1%",2.4,4,3,0.571,2.1,79,0,64,0,0,46,77,48,19,18,3,32,1,127,1,0,4,306,1.039,183,"2011"
"22","Madison Bumgarner\bumgama01","SFG",1,0,"0%",1.9,13,13,0.5,3.21,33,33,0,0,0,0,204.2,202,82,73,12,46,5,191,5,1,0,844,1.212,109,"2011"
"23","Ryan Vogelsong\vogelry01","SFG",1,0,"0%",2.7,13,7,0.65,2.71,30,28,1,1,1,0,179.2,164,62,54,15,61,6,139,5,1,1,752,1.252,129,"2011"
