"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Bret Saberhagen\saberbr01","KCR",127,23,"91%",7.2,20,6,0.769,2.87,32,32,0,10,1,0,235.1,211,79,75,19,38,1,158,1,3,1,931,1.058,143,"1985"
"2","Ron Guidry\guidrro01","NYY",88,4,"63%",4.6,22,6,0.786,3.27,34,33,0,11,2,0,259,243,104,94,28,42,3,143,0,1,3,1033,1.1,123,"1985"
"3","Bert Blyleven\blylebe01","TOT",9,1,"6%",6.8,17,16,0.515,3.16,37,37,0,24,5,0,293.2,264,121,103,23,75,1,206,9,1,4,1203,1.154,134,"1985"
"4","Dan Quisenberry\quiseda01","KCR",9,0,"6%",4.3,8,9,0.471,2.37,84,0,76,0,0,37,129,142,41,34,8,16,5,54,1,0,0,532,1.225,174,"1985"
"5","Charlie Leibrandt\leibrch01","KCR",7,0,"5%",6.6,17,9,0.654,2.69,33,33,0,8,3,0,237.2,223,86,71,17,68,3,108,2,3,4,983,1.224,153,"1985"
"6","Doyle Alexander\alexado01","TOR",5,0,"4%",4.8,17,10,0.63,3.45,36,36,0,6,1,0,260.2,268,105,100,28,67,0,142,6,0,9,1090,1.285,123,"1985"
"7","Britt Burns\burnsbr01","CHW",2,0,"1%",4.3,18,11,0.621,3.96,36,34,1,8,4,0,227,206,105,100,26,79,1,172,2,0,2,944,1.256,109,"1985"
"8","Donnie Moore\mooredo01","CAL",2,0,"1%",3.6,8,8,0.5,1.92,65,0,57,0,0,31,103,91,28,22,9,21,3,72,0,0,2,417,1.087,217,"1985"
"9","Dave Stieb\stiebda01","TOR",2,0,"1%",6.8,14,13,0.519,2.48,36,36,0,8,2,0,265,206,89,73,22,96,3,167,9,1,4,1087,1.14,171,"1985"
"10","Mike Moore\mooremi01","SEA",1,0,"1%",6.3,17,10,0.63,3.46,35,34,1,14,2,0,247,230,100,95,18,70,2,155,4,3,10,1016,1.215,121,"1985"
"11","Dwight Gooden\goodedw01","NYM",120,24,"100%",12.2,24,4,0.857,1.53,35,35,0,16,8,0,276.2,198,51,47,13,69,4,268,2,2,6,1065,0.965,229,"1985"
"12","John Tudor\tudorjo01","STL",65,0,"54%",8.1,21,8,0.724,1.93,36,36,0,14,10,0,275,209,68,59,14,49,4,169,5,0,4,1062,0.938,185,"1985"
"13","Orel Hershiser\hershor01","LAD",17,0,"14%",5.9,19,3,0.864,2.03,36,34,1,9,5,0,239.2,179,72,54,8,68,5,157,6,0,5,953,1.031,171,"1985"
"14","Joaquin Andujar\andujjo01","STL",6,0,"5%",2.2,21,12,0.636,3.4,38,38,0,10,2,0,269.2,265,113,102,15,82,12,112,11,0,2,1127,1.287,105,"1985"
"15","Fernando Valenzuela\valenfe01","LAD",4,0,"3%",5.5,17,10,0.63,2.45,35,35,0,14,5,0,272.1,211,92,74,14,101,5,208,1,1,10,1109,1.146,141,"1985"
"16","Tom Browning\brownto05","CIN",3,0,"3%",3.6,20,9,0.69,3.55,38,38,0,6,4,0,261.1,242,111,103,29,73,8,155,3,0,2,1083,1.205,106,"1985"
"17","Jeff Reardon\reardje01","MON",1,0,"1%",1.1,2,8,0.2,3.18,63,0,50,0,0,41,87.2,68,31,31,7,26,4,67,1,0,2,356,1.072,108,"1985"
