"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Johan Santana\santajo02","MIN",140,28,"100%",8.7,20,6,0.769,2.61,34,34,0,1,1,0,228,156,70,66,24,54,0,265,9,0,7,881,0.921,182,"2004"
"2","Curt Schilling\schilcu01","BOS",82,0,"59%",7.8,21,6,0.778,3.26,32,32,0,3,0,0,226.2,206,84,82,23,35,0,203,5,0,3,910,1.063,148,"2004"
"3","Mariano Rivera\riverma01","NYY",27,0,"19%",4.2,4,2,0.667,1.94,74,0,69,0,0,53,78.2,65,17,17,3,20,3,66,5,0,0,316,1.081,232,"2004"
"4","Pedro Martinez\martipe02","BOS",1,0,"1%",5.5,16,9,0.64,3.9,33,33,0,1,1,0,217,193,99,94,26,61,0,227,16,0,2,903,1.171,124,"2004"
"5","Joe Nathan\nathajo01","MIN",1,0,"1%",3.9,1,2,0.333,1.62,73,0,63,0,0,44,72.1,48,14,13,3,23,3,89,2,0,5,284,0.982,294,"2004"
"6","Francisco Rodriguez\rodrifr03","ANA",1,0,"1%",3.3,4,1,0.8,1.82,69,0,29,0,0,12,84,51,21,17,2,33,1,123,1,0,5,335,1,245,"2004"
"7","Roger Clemens\clemero02","HOU",140,23,"88%",5.4,18,4,0.818,2.98,33,33,0,0,0,0,214.1,169,76,71,15,79,5,218,6,0,5,878,1.157,145,"2004"
"8","Randy Johnson\johnsra05","ARI",97,8,"61%",8.4,16,14,0.533,2.6,35,35,0,4,2,0,245.2,177,88,71,18,44,1,290,10,1,3,964,0.9,176,"2004"
"9","Roy Oswalt\oswalro01","HOU",19,1,"12%",3.9,20,10,0.667,3.49,36,35,0,2,2,0,237,233,100,92,17,62,5,206,11,1,5,983,1.245,124,"2004"
"10","Jason Schmidt\schmija01","SFG",13,0,"8%",6.8,18,7,0.72,3.2,32,32,0,4,3,0,225,165,84,80,18,77,3,251,3,1,7,907,1.076,136,"2004"
"11","Carlos Zambrano\zambrca01","CHC",8,0,"5%",6.7,16,8,0.667,2.75,31,31,0,1,1,0,209.2,174,73,64,14,81,4,188,20,2,6,887,1.216,160,"2004"
"12","Carl Pavano\pavanca01","FLA",6,0,"4%",5.3,18,8,0.692,3,31,31,0,2,2,0,222.1,212,80,74,16,49,13,139,11,3,2,909,1.174,137,"2004"
"13","Eric Gagne\gagneer01","LAD",3,0,"2%",2.3,7,3,0.7,2.19,70,0,59,0,0,45,82.1,53,24,20,5,22,3,114,5,0,2,326,0.911,188,"2004"
"14","Brad Lidge\lidgebr01","HOU",1,0,"1%",3.8,6,5,0.545,1.9,80,0,44,0,0,29,94.2,57,21,20,8,30,5,157,6,1,3,369,0.919,228,"2004"
"15","Ben Sheets\sheetbe01","MIL",1,0,"1%",7.2,12,14,0.462,2.7,34,34,0,5,0,0,237,201,85,71,25,32,1,264,4,1,8,937,0.983,162,"2004"
