"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Jack McDowell\mcdowja01","CHW",124,21,"89%",4.4,22,10,0.688,3.37,34,34,0,10,4,0,256.2,261,104,96,20,69,6,158,3,1,8,1067,1.286,125,"1993"
"2","Randy Johnson\johnsra05","SEA",75,6,"54%",6.6,19,8,0.704,3.24,35,34,1,10,3,1,255.1,185,97,92,22,99,1,308,16,2,8,1043,1.112,135,"1993"
"3","Kevin Appier\appieke01","KCR",30,1,"21%",9.3,18,8,0.692,2.56,34,34,0,5,1,0,238.2,183,74,68,8,81,3,186,1,0,5,953,1.106,179,"1993"
"4","Jimmy Key\keyji01","NYY",14,0,"10%",6.3,18,6,0.75,3,34,34,0,4,2,0,236.2,219,84,79,26,43,1,173,1,0,3,948,1.107,139,"1993"
"5","Duane Ward\warddu01","TOR",5,0,"4%",3,2,3,0.4,2.13,71,0,70,0,0,45,71.2,49,17,17,4,25,2,97,1,0,7,282,1.033,204,"1993"
"6","Pat Hentgen\hentgpa01","TOR",3,0,"2%",3.4,19,9,0.679,3.87,34,32,0,3,0,0,216.1,215,103,93,27,74,0,122,7,1,11,926,1.336,112,"1993"
"7","Juan Guzman\guzmaju01","TOR",1,0,"1%",3.4,14,3,0.824,3.99,33,33,0,2,1,0,221,211,107,98,17,110,2,194,3,1,26,963,1.452,109,"1993"
"8","Greg Maddux\maddugr01","ATL",119,22,"85%",5.8,20,10,0.667,2.36,36,36,0,8,1,0,267,228,85,70,14,52,7,197,6,1,5,1064,1.049,170,"1993"
"9","Bill Swift\swiftbi02","SFG",61,2,"44%",4.5,21,8,0.724,2.82,34,34,0,1,1,0,232.2,195,82,73,18,55,5,157,6,0,4,928,1.074,138,"1993"
"10","Tom Glavine\glavito02","ATL",49,4,"35%",3.3,22,6,0.786,3.2,36,36,0,4,2,0,239.1,236,91,85,16,90,7,120,2,0,4,1014,1.362,126,"1993"
"11","John Burkett\burkejo03","SFG",9,0,"6%",2.6,22,7,0.759,3.65,34,34,0,2,1,0,231.2,224,100,94,18,40,4,145,11,2,1,942,1.14,107,"1993"
"12","Jose Rijo\rijojo01","CIN",8,0,"6%",9.2,14,9,0.609,2.48,36,36,0,2,1,0,257.1,218,76,71,19,62,2,227,2,1,0,1029,1.088,162,"1993"
"13","Tommy Greene\greento01","PHI",2,0,"1%",3.6,16,4,0.8,3.42,31,30,0,7,2,0,200,175,84,76,12,62,3,167,3,0,15,834,1.185,116,"1993"
"14","Mark Portugal\portuma01","HOU",2,0,"1%",3.8,18,4,0.818,2.77,33,33,0,1,1,0,208,194,75,64,10,77,3,131,4,2,9,876,1.303,139,"1993"
"15","Bryan Harvey\harvebr01","FLA",1,0,"1%",4,1,5,0.167,1.7,59,0,54,0,0,45,69,45,14,13,4,13,2,73,0,1,0,264,0.841,252,"1993"
"16","Randy Myers\myersra01","CHC",1,0,"1%",1.3,2,4,0.333,3.11,73,0,69,0,0,53,75.1,65,26,26,7,26,2,86,1,0,3,313,1.208,127,"1993"
