Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Roger Clemens\clemero02,NYY,122.0,21.0,87%,5.7,20,3,.870,3.51,33,33,0,0,0,0,220.1,205,94,86,19,72,1,213,5,0,14,918,1.257,128
2,Mark Mulder\muldema01,OAK,60.0,2.0,43%,5.6,21,8,.724,3.45,34,34,0,6,4,0,229.1,214,92,88,16,51,4,153,5,0,4,927,1.156,126
3,Freddy Garcia\garcifr03,SEA,55.0,4.0,39%,4.2,18,6,.750,3.05,34,34,0,4,3,0,238.2,199,88,81,16,69,6,163,5,1,3,971,1.123,135
4,Jamie Moyer\moyerja01,SEA,12.0,1.0,9%,3.4,20,6,.769,3.43,33,33,0,1,0,0,209.2,187,84,80,24,44,4,119,10,0,1,851,1.102,120
5,Mike Mussina\mussimi01,NYY,2.0,0.0,1%,7.1,17,11,.607,3.15,34,34,0,4,3,0,228.2,202,87,80,20,42,2,214,4,0,6,909,1.067,143
6,Tim Hudson\hudsoti01,OAK,1.0,0.0,1%,4.5,18,9,.667,3.37,35,35,0,3,0,0,235.0,216,100,88,20,71,5,181,6,1,9,980,1.221,129
1,Randy Johnson\johnsra05,ARI,156.0,30.0,98%,10.1,21,6,.778,2.49,35,34,1,3,2,0,249.2,181,74,69,19,71,2,372,18,1,8,994,1.009,188
2,Curt Schilling\schilcu01,ARI,98.0,2.0,61%,8.8,22,6,.786,2.98,35,35,0,6,1,0,256.2,237,86,85,37,39,0,293,1,0,4,1021,1.075,157
3,Matt Morris\morrima01,STL,31.0,0.0,19%,4.1,22,8,.733,3.16,34,34,0,2,1,0,216.1,218,86,76,13,54,3,185,13,1,5,909,1.257,137
4,Jon Lieber\liebejo01,CHC,2.0,0.0,1%,3.9,20,6,.769,3.80,34,34,0,5,1,0,232.1,226,104,98,25,41,4,148,7,1,4,958,1.149,109
5,Roy Oswalt\oswalro01,HOU,1.0,0.0,1%,4.7,14,3,.824,2.73,28,20,4,3,1,0,141.2,126,48,43,13,24,2,144,6,0,0,575,1.059,170
