Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Roger Clemens\clemero02,BOS,124.0,21.0,89%,9.4,20,9,.690,2.97,36,36,0,18,7,0,281.2,248,100,93,19,83,4,256,9,3,4,1157,1.175,154
2,Jimmy Key\keyji01,TOR,64.0,4.0,46%,7.4,17,8,.680,2.76,36,36,0,8,1,0,261.0,210,93,80,24,66,6,161,2,5,8,1033,1.057,164
3,Dave Stewart\stewada01,OAK,32.0,2.0,23%,4.3,20,13,.606,3.68,37,37,0,8,1,0,261.1,224,121,107,24,105,2,205,6,0,11,1103,1.259,113
4,Doyle Alexander\alexado01,DET,8.0,1.0,6%,4.4,9,0,1.000,1.53,11,11,0,3,3,0,88.1,63,16,15,3,26,0,44,0,0,1,340,1.008,279
5,Mark Langston\langsma01,SEA,7.0,0.0,5%,5.9,19,13,.594,3.84,35,35,0,14,3,0,272.0,242,132,116,30,114,0,262,5,2,9,1152,1.309,124
6,Teddy Higuera\higuete01,MIL,5.0,0.0,4%,6.3,18,10,.643,3.85,35,35,0,14,3,0,261.2,236,120,112,24,87,2,240,2,2,4,1084,1.234,119
6,Frank Viola\violafr01,MIN,5.0,0.0,4%,8.1,17,10,.630,2.90,36,36,0,7,1,0,251.2,230,91,81,29,66,1,197,6,1,1,1037,1.176,159
8,Jeff Reardon\reardje01,MIN,4.0,0.0,3%,0.7,8,8,.500,4.48,63,0,58,0,0,31,80.1,70,41,40,14,28,4,83,3,0,2,337,1.220,103
9,Jack Morris\morrija02,DET,3.0,0.0,2%,5.2,18,11,.621,3.38,34,34,0,13,0,0,266.0,227,111,100,39,93,7,208,1,1,24,1101,1.203,126
1,Steve Bedrosian\bedrost01,PHI,57.0,9.0,48%,2.3,5,3,.625,2.83,65,0,56,0,0,40,89.0,79,31,28,11,28,5,74,1,1,3,366,1.202,151
2,Rick Sutcliffe\sutclri01,CHC,55.0,4.0,46%,6.1,18,10,.643,3.68,34,34,0,6,1,0,237.1,223,106,97,24,106,14,174,4,4,9,1012,1.386,116
3,Rick Reuschel\reuscri01,TOT,54.0,8.0,45%,3.9,13,9,.591,3.09,34,33,0,12,4,0,227.0,207,91,78,13,42,3,107,8,0,7,920,1.097,131
4,Orel Hershiser\hershor01,LAD,14.0,2.0,12%,6.4,16,16,.500,3.06,37,35,2,10,1,1,264.2,247,105,90,17,74,5,190,9,2,11,1093,1.213,131
5,Dwight Gooden\goodedw01,NYM,12.0,1.0,10%,3.7,15,7,.682,3.21,25,25,0,7,3,0,179.2,162,68,64,11,53,2,148,2,1,1,730,1.197,119
5,Nolan Ryan\ryanno01,HOU,12.0,0.0,10%,5.4,8,16,.333,2.76,34,34,0,0,0,0,211.2,154,75,65,14,87,2,270,4,2,10,873,1.139,142
7,Mike Scott\scottmi03,HOU,9.0,0.0,8%,5.9,16,13,.552,3.23,36,36,0,8,3,0,247.2,199,94,89,21,79,6,233,4,2,10,1010,1.122,121
8,Bob Welch\welchbo01,LAD,3.0,0.0,3%,7.1,15,9,.625,3.22,35,35,0,6,4,0,251.2,204,94,90,21,86,6,196,4,4,4,1027,1.152,125
