Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Max Scherzer\scherma01,DET,203.0,28.0,97%,6.4,21,3,.875,2.90,32,32,0,0,0,0,214.1,152,73,69,18,56,0,240,4,1,6,836,0.970,144
2,Yu Darvish\darviyu01,TEX,93.0,0.0,44%,5.6,13,9,.591,2.83,32,32,0,0,0,0,209.2,145,68,66,26,80,1,277,8,1,7,841,1.073,145
3,Hisashi Iwakuma\iwakuhi01,SEA,73.0,0.0,35%,7.2,14,6,.700,2.66,33,33,0,0,0,0,219.2,179,69,65,25,42,4,185,2,0,10,866,1.006,138
4,Anibal Sanchez\sanchan01,DET,46.0,1.0,22%,6.0,14,8,.636,2.57,29,29,0,1,1,0,182.0,156,56,52,9,54,1,202,2,0,7,746,1.154,162
5,Chris Sale\salech01,CHW,44.0,1.0,21%,6.5,11,14,.440,3.07,30,30,0,4,1,0,214.1,184,81,73,23,46,2,226,14,1,8,866,1.073,137
6,Bartolo Colon\colonba01,OAK,25.0,0.0,12%,5.7,18,6,.750,2.65,30,30,0,3,3,0,190.1,193,60,56,14,29,0,117,0,0,1,769,1.166,147
7,Koji Uehara\ueharko01,BOS,10.0,0.0,5%,3.6,4,1,.800,1.09,73,0,40,0,0,21,74.1,33,10,9,5,9,2,101,1,0,1,265,0.565,379
8,Felix Hernandez\hernafe02,SEA,6.0,0.0,3%,5.3,12,10,.545,3.04,31,31,0,0,0,0,204.1,185,74,69,15,46,1,216,3,0,13,823,1.131,121
9,Greg Holland\hollagr01,KCR,4.0,0.0,2%,3.1,2,1,.667,1.21,68,0,61,0,0,47,67.0,40,11,9,3,18,1,103,0,0,2,255,0.866,342
9,Matt Moore\moorema02,TBR,4.0,0.0,2%,2.6,17,4,.810,3.29,27,27,0,1,1,0,150.1,119,58,55,14,76,1,143,4,1,17,642,1.297,117
11,James Shields\shielja02,KCR,2.0,0.0,1%,4.3,13,9,.591,3.15,34,34,0,2,0,0,228.2,215,82,80,20,68,0,196,8,2,11,946,1.238,131
1,Clayton Kershaw\kershcl01,LAD,207.0,29.0,99%,8.0,16,9,.640,1.83,33,33,0,3,2,0,236.0,164,55,48,11,52,2,232,3,2,12,908,0.915,194
2,Adam Wainwright\wainwad01,STL,86.0,1.0,41%,6.2,19,9,.679,2.94,34,34,0,5,2,0,241.2,223,83,79,15,35,2,219,6,0,5,956,1.068,127
3,Jose Fernandez\fernajo02,MIA,62.0,0.0,30%,6.3,12,6,.667,2.19,28,28,0,0,0,0,172.2,111,47,42,10,58,5,187,5,1,3,681,0.979,176
4,Matt Harvey\harvema01,NYM,39.0,0.0,19%,5.4,9,5,.643,2.27,26,26,0,1,1,0,178.1,135,46,45,7,31,1,191,4,0,2,690,0.931,157
4,Craig Kimbrel\kimbrcr01,ATL,39.0,0.0,19%,3.1,4,3,.571,1.21,68,0,60,0,0,50,67.0,39,10,9,4,20,2,98,3,0,3,258,0.881,311
6,Cliff Lee\leecl02,PHI,32.0,0.0,15%,6.8,14,8,.636,2.87,31,31,0,2,1,0,222.2,193,77,71,22,32,0,222,4,0,1,876,1.010,131
7,Jordan Zimmermann\zimmejo02,WSN,21.0,0.0,10%,3.8,19,9,.679,3.25,32,32,0,4,2,0,213.1,192,81,77,19,40,0,161,7,0,3,865,1.088,116
8,Zack Greinke\greinza01,LAD,19.0,0.0,9%,4.2,15,4,.789,2.63,28,28,0,1,1,0,177.2,152,54,52,13,46,1,148,7,0,5,717,1.114,135
9,Madison Bumgarner\bumgama01,SFG,3.0,0.0,1%,4.0,13,9,.591,2.77,31,31,0,0,0,0,201.1,146,68,62,15,62,6,199,6,0,6,803,1.033,124
9,Francisco Liriano\liriafr01,PIT,3.0,0.0,1%,3.2,16,8,.667,3.02,26,26,0,2,0,0,161.0,134,54,54,9,63,0,163,0,2,7,666,1.224,118
