Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Felix Hernandez\hernafe02,SEA,167.0,21.0,85%,7.2,13,12,.520,2.27,34,34,0,6,1,0,249.2,194,80,63,17,70,1,232,8,1,14,1001,1.057,174
2,David Price\priceda01,TBR,111.0,4.0,57%,4.7,19,6,.760,2.72,32,31,0,2,1,0,208.2,170,71,63,15,79,1,188,5,3,5,861,1.193,144
3,CC Sabathia\sabatc.01,NYY,102.0,3.0,52%,4.8,21,7,.750,3.18,34,34,0,2,0,0,237.2,209,92,84,20,74,6,197,7,1,8,970,1.191,136
4,Jon Lester\lestejo01,BOS,33.0,0.0,17%,5.2,19,9,.679,3.25,32,32,0,2,0,0,208.0,167,81,75,14,83,0,225,10,0,6,861,1.202,134
5,Jered Weaver\weaveje02,LAA,24.0,0.0,12%,5.2,13,12,.520,3.01,34,34,0,0,0,0,224.1,187,83,75,23,54,0,233,0,1,7,905,1.074,132
6,Clay Buchholz\buchhcl01,BOS,20.0,0.0,10%,5.6,17,7,.708,2.33,28,28,0,1,1,0,173.2,142,55,45,9,67,1,120,5,1,7,711,1.203,187
7,Cliff Lee\leecl02,TOT,6.0,0.0,3%,5.1,12,9,.571,3.18,28,28,0,7,1,0,212.1,195,84,75,16,18,2,185,1,1,3,843,1.003,133
8,Rafael Soriano\soriara01,TBR,5.0,0.0,3%,2.1,3,2,.600,1.73,64,0,56,0,0,45,62.1,36,14,12,4,14,2,57,1,0,0,237,0.802,226
9,Trevor Cahill\cahiltr01,OAK,4.0,0.0,2%,3.9,18,8,.692,2.97,30,30,0,1,1,0,196.2,155,73,65,19,63,1,118,6,2,2,783,1.108,138
10,Joakim Soria\soriajo01,KCR,2.0,0.0,1%,3.7,1,2,.333,1.78,66,0,56,0,0,43,65.2,53,13,13,4,16,1,71,2,1,3,270,1.051,236
11,Francisco Liriano\liriafr01,MIN,1.0,0.0,1%,4.2,14,10,.583,3.62,31,31,0,0,0,0,191.2,184,77,77,9,58,0,201,10,1,10,806,1.263,112
11,Justin Verlander\verlaju01,DET,1.0,0.0,1%,4.5,18,9,.667,3.37,33,33,0,4,0,0,224.1,190,89,84,14,71,0,219,6,2,11,925,1.163,124
1,Roy Halladay\hallaro01,PHI,224.0,32.0,100%,8.6,21,10,.677,2.44,33,33,0,9,4,0,250.2,231,74,68,24,30,1,219,6,1,5,993,1.041,167
2,Adam Wainwright\wainwad01,STL,122.0,0.0,54%,6.2,20,11,.645,2.42,33,33,0,5,2,0,230.1,186,68,62,15,56,2,213,4,0,2,910,1.051,160
3,Ubaldo Jimenez\jimenub01,COL,90.0,0.0,40%,7.5,19,8,.704,2.88,33,33,0,4,2,0,221.2,164,73,71,10,92,7,214,9,1,16,894,1.155,161
4,Tim Hudson\hudsoti01,ATL,39.0,0.0,17%,5.8,17,9,.654,2.83,34,34,0,1,0,0,228.2,189,74,72,20,74,8,139,9,0,5,920,1.150,138
5,Josh Johnson\johnsjo09,FLA,34.0,0.0,15%,7.0,11,6,.647,2.30,28,28,0,1,0,0,183.2,155,51,47,7,48,2,186,5,0,4,744,1.105,180
6,Roy Oswalt\oswalro01,TOT,14.0,0.0,6%,6.0,13,13,.500,2.76,33,32,0,2,2,0,211.2,162,70,65,19,55,2,193,5,1,2,837,1.025,145
7,Brian Wilson\wilsobr01,SFG,7.0,0.0,3%,2.8,3,3,.500,1.81,70,0,59,0,0,48,74.2,62,16,15,3,26,5,93,1,0,0,311,1.179,217
8,Heath Bell\bellhe01,SDP,4.0,0.0,2%,1.9,6,1,.857,1.93,67,0,57,0,0,47,70.0,56,17,15,1,28,3,86,1,0,1,287,1.200,191
8,Mat Latos\latosma01,SDP,4.0,0.0,2%,3.2,14,10,.583,2.92,31,31,0,1,1,0,184.2,150,63,60,16,50,3,189,2,1,5,748,1.083,126
10,Tim Lincecum\linceti01,SFG,2.0,0.0,1%,3.3,16,10,.615,3.43,33,33,0,1,1,0,212.1,194,84,81,18,76,7,231,5,0,9,897,1.272,114
10,Brett Myers\myersbr01,HOU,2.0,0.0,1%,4.9,14,8,.636,3.14,33,33,0,2,0,0,223.2,212,88,78,20,66,3,180,3,0,2,936,1.243,126
12,Bronson Arroyo\arroybr01,CIN,1.0,0.0,0%,2.4,17,10,.630,3.88,33,33,0,2,0,0,215.2,188,95,93,29,59,5,121,6,1,1,880,1.145,105
12,Matt Cain\cainma01,SFG,1.0,0.0,0%,4.1,13,11,.542,3.14,33,33,0,4,2,0,223.1,181,84,78,22,61,4,177,4,0,8,896,1.084,124
