Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Jim Palmer\palmeji01,BAL,108.0,19.0,90%,6.6,22,13,.629,2.51,40,40,0,23,6,0,315.0,255,101,88,20,84,5,159,8,0,5,1256,1.076,130
2,Mark Fidrych\fidryma01,DET,51.0,5.0,43%,9.6,19,9,.679,2.34,31,29,2,24,4,0,250.1,217,76,65,12,53,3,97,3,0,6,996,1.079,159
3,Frank Tanana\tananfr01,CAL,18.0,0.0,15%,7.6,19,10,.655,2.43,34,34,0,23,2,0,288.1,212,88,78,24,73,5,261,9,0,5,1142,0.988,136
4,Ed Figueroa\figueed01,NYY,12.0,0.0,10%,2.1,19,10,.655,3.02,34,34,0,14,4,0,256.2,237,101,86,13,94,0,119,3,0,6,1081,1.290,115
5,Luis Tiant\tiantlu01,BOS,10.0,0.0,8%,6.3,21,12,.636,3.06,38,38,0,19,3,0,279.0,274,107,95,25,64,2,131,3,0,1,1136,1.211,129
6,Vida Blue\bluevi01,OAK,8.0,0.0,7%,7.7,18,13,.581,2.35,37,37,0,20,6,0,298.1,268,90,78,9,63,3,166,1,1,5,1205,1.109,142
7,Bill Campbell\campbbi02,MIN,7.0,0.0,6%,1.9,17,5,.773,3.01,78,0,68,0,0,20,167.2,145,63,56,9,62,11,115,5,0,7,703,1.235,120
8,Rollie Fingers\fingero01,OAK,1.0,0.0,1%,3.8,13,11,.542,2.47,70,0,62,0,0,20,134.2,118,40,37,3,40,10,113,7,0,2,559,1.173,136
8,Wayne Garland\garlawa01,BAL,1.0,0.0,1%,3.7,20,7,.741,2.67,38,25,9,14,4,1,232.1,224,81,69,10,64,9,113,6,1,5,976,1.240,123
1,Randy Jones\jonesra01,SDP,96.0,15.0,80%,4.8,22,14,.611,2.74,40,40,0,25,5,0,315.1,274,109,96,15,50,9,93,4,1,0,1251,1.027,119
2,Jerry Koosman\koosmje01,NYM,69.0,7.0,58%,4.7,21,10,.677,2.69,34,32,0,17,3,0,247.1,205,81,74,19,66,7,200,1,1,3,994,1.096,121
3,Don Sutton\suttodo01,LAD,25.0,1.0,21%,3.1,21,10,.677,3.06,35,34,1,15,4,0,267.2,231,98,91,22,82,6,161,3,1,4,1093,1.169,110
4,Steve Carlton\carltst01,PHI,11.0,0.0,9%,3.9,20,7,.741,3.13,35,35,0,13,2,0,252.2,224,94,88,19,72,4,195,1,3,8,1031,1.172,113
5,Rawly Eastwick\eastwra01,CIN,6.0,0.0,5%,2.8,11,5,.688,2.09,71,0,59,0,0,26,107.2,93,30,25,3,27,3,70,2,0,1,439,1.115,168
6,Jon Matlack\matlajo01,NYM,5.0,1.0,4%,4.2,17,10,.630,2.95,35,35,0,16,6,0,262.0,236,94,86,18,57,5,153,3,3,13,1054,1.118,111
7,J.R. Richard\richaj.01,HOU,2.0,0.0,2%,3.6,20,15,.571,2.75,39,39,0,14,3,0,291.0,221,105,89,14,151,4,214,4,2,13,1218,1.278,116
8,Tom Seaver\seaveto01,NYM,1.0,0.0,1%,5.4,14,11,.560,2.59,35,34,0,13,5,0,271.0,211,83,78,14,77,9,235,4,0,12,1079,1.063,126
