Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Rick Porcello\porceri01,BOS,137.0,8.0,65%,4.8,22,4,.846,3.15,33,33,0,3,0,0,223.0,193,85,78,23,32,0,189,13,0,3,890,1.009,142
2,Justin Verlander\verlaju01,DET,132.0,14.0,63%,7.2,16,9,.640,3.04,34,34,0,2,0,0,227.2,171,81,77,30,57,1,254,8,0,6,903,1.001,140
3,Corey Kluber\klubeco01,CLE,98.0,3.0,47%,5.8,18,9,.667,3.14,32,32,0,3,2,0,215.0,170,82,75,22,57,1,227,7,1,5,860,1.056,144
4,Zach Britton\brittza01,BAL,72.0,5.0,34%,4.2,2,1,.667,0.54,69,0,63,0,0,47,67.0,38,7,4,1,18,3,74,0,0,10,254,0.836,803
5,Chris Sale\salech01,CHW,40.0,0.0,19%,5.0,17,10,.630,3.34,32,32,0,6,1,0,226.2,190,88,84,27,45,2,233,17,0,2,907,1.037,121
6,J.A. Happ\happja01,TOR,14.0,0.0,7%,4.5,20,4,.833,3.18,32,32,0,0,0,0,195.0,168,72,69,22,60,0,163,6,2,3,796,1.169,134
7,Aaron Sanchez\sanchaa01,TOR,6.0,0.0,3%,5.1,15,2,.882,3.00,30,30,0,0,0,0,192.0,161,69,64,15,63,0,161,5,0,5,790,1.167,142
7,Masahiro Tanaka\tanakma01,NYY,6.0,0.0,3%,5.2,14,4,.778,3.07,31,31,0,0,0,0,199.2,179,75,68,22,36,0,165,3,0,7,805,1.077,140
9,Andrew Miller\millean01,TOT,3.0,0.0,1%,3.8,10,1,.909,1.45,70,0,23,0,0,12,74.1,42,13,12,8,9,0,123,2,0,1,275,0.686,304
10,Michael Fulmer\fulmemi01,DET,1.0,0.0,0%,5.3,11,7,.611,3.06,26,26,0,1,1,0,159.0,136,57,54,16,42,1,132,9,1,1,647,1.119,139
10,Jose Quintana\quintjo01,CHW,1.0,0.0,0%,5.4,13,12,.520,3.20,32,32,0,0,0,0,208.0,192,76,74,22,50,1,181,4,1,10,837,1.163,126
1,Max Scherzer\scherma01,WSN,192.0,25.0,91%,6.3,20,7,.741,2.96,34,34,0,1,0,0,228.1,165,77,75,31,56,2,284,6,1,2,902,0.968,144
2,Jon Lester\lestejo01,CHC,102.0,1.0,49%,5.6,19,5,.792,2.44,32,32,0,2,0,0,202.2,154,57,55,21,52,0,197,6,0,4,796,1.016,171
3,Kyle Hendricks\hendrky01,CHC,85.0,2.0,40%,5.4,16,8,.667,2.13,31,30,0,2,1,0,190.0,142,53,45,15,44,3,170,8,0,5,745,0.979,196
4,Madison Bumgarner\bumgama01,SFG,46.0,0.0,22%,4.8,15,9,.625,2.74,34,34,0,4,1,0,226.2,179,79,69,26,54,0,251,8,1,4,912,1.028,146
5,Clayton Kershaw\kershcl01,LAD,30.0,2.0,14%,5.8,12,4,.750,1.69,21,21,0,3,3,0,149.0,97,31,28,8,11,1,172,2,3,5,544,0.725,237
6,Johnny Cueto\cuetojo01,SFG,19.0,0.0,9%,5.5,18,5,.783,2.79,32,32,0,5,2,0,219.2,195,71,68,15,45,1,198,8,1,3,881,1.093,144
7,Jose Fernandez\fernajo02,MIA,18.0,0.0,9%,4.1,16,8,.667,2.86,29,29,0,0,0,0,182.1,149,63,58,13,55,6,253,6,1,9,737,1.119,137
8,Noah Syndergaard\syndeno01,NYM,15.0,0.0,7%,5.0,14,9,.609,2.60,31,30,0,0,0,0,183.2,168,61,53,11,43,2,218,2,1,10,744,1.149,155
9,Jake Arrieta\arrieja01,CHC,2.0,0.0,1%,3.7,18,8,.692,3.10,31,31,0,1,1,0,197.1,138,72,68,16,76,1,190,6,0,16,795,1.084,135
10,Tanner Roark\roarkta01,WSN,1.0,0.0,0%,5.6,16,10,.615,2.83,34,33,0,0,0,0,210.0,173,72,66,17,73,4,172,13,1,6,855,1.171,151
