"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
5,"Mike Mussina\mussimi01","NYY",2,0,"1%",7.1,17,11,0.607,3.15,34,34,0,4,3,0,228.2,202,87,80,20,42,2,214,4,0,6,909,1.067,143,6,1,2,1,1
3,"Freddy Garcia\garcifr03","SEA",55,4,"39%",4.2,18,6,0.75,3.05,34,34,0,4,3,0,238.2,199,88,81,16,69,6,163,5,1,3,971,1.123,135,4,4,1,5,2
6,"Tim Hudson\hudsoti01","OAK",1,0,"1%",4.5,18,9,0.667,3.37,35,35,0,3,0,0,235,216,100,88,20,71,5,181,6,1,9,980,1.221,129,5,3,3,4,3
1,"Roger Clemens\clemero02","NYY",122,21,"87%",5.7,20,3,0.87,3.51,33,33,0,0,0,0,220.1,205,94,86,19,72,1,213,5,0,14,918,1.257,128,2,2,6,2,4
2,"Mark Mulder\muldema01","OAK",60,2,"43%",5.6,21,8,0.724,3.45,34,34,0,6,4,0,229.1,214,92,88,16,51,4,153,5,0,4,927,1.156,126,1,5,5,3,5
4,"Jamie Moyer\moyerja01","SEA",12,1,"9%",3.4,20,6,0.769,3.43,33,33,0,1,0,0,209.2,187,84,80,24,44,4,119,10,0,1,851,1.102,120,3,6,4,6,6
