"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
5,"Bryan Harvey\harvebr01","CAL",10,0,"7%",3.4,2,4,0.333,1.6,67,0,63,0,0,46,78.2,51,20,14,6,17,3,101,1,2,2,309,0.864,257,10,9,1,8,1
1,"Roger Clemens\clemero02","BOS",119,21,"85%",7.9,18,10,0.643,2.62,35,35,0,13,4,0,271.1,219,93,79,15,65,12,241,5,0,6,1077,1.047,165,4,1,2,1,2
9,"Duane Ward\warddu01","TOR",3,0,"2%",2.7,7,6,0.538,2.77,81,0,46,0,0,23,107.1,80,36,33,3,33,3,132,2,0,6,428,1.053,153,9,7,3,9,3
7,"Kevin Tapani\tapanke01","MIN",6,1,"4%",6.8,16,9,0.64,2.99,34,34,0,4,1,0,244,225,84,81,23,40,0,135,2,3,3,974,1.086,143,8,6,5,4,4
3,"Jim Abbott\abbotji01","CAL",26,0,"19%",7.6,18,11,0.621,2.89,34,34,0,5,1,0,243,222,85,78,14,73,6,158,5,4,1,1002,1.214,142,5,5,4,2,5
6,"Mark Langston\langsma01","CAL",7,0,"5%",7.3,19,8,0.704,3,34,34,0,7,0,0,246.1,190,89,82,30,96,3,183,2,0,6,992,1.161,137,3,3,6,3,6
2,"Scott Erickson\ericksc01","MIN",56,3,"40%",4.5,20,8,0.714,3.18,32,32,0,5,3,0,204,189,80,72,13,71,3,108,6,0,4,851,1.275,135,1,8,7,5,7
4,"Jack Morris\morrija02","MIN",17,3,"12%",4.3,18,12,0.6,3.43,35,35,0,10,2,0,246.2,226,107,94,18,92,5,163,5,1,15,1032,1.289,125,6,4,9,7,8
9,"Jack McDowell\mcdowja01","CHW",3,0,"2%",4.3,17,10,0.63,3.41,35,35,0,15,3,0,253.2,212,97,96,19,82,2,191,4,1,10,1028,1.159,117,7,2,8,6,9
8,"Bill Gullickson\gullibi01","DET",5,0,"4%",2,20,9,0.69,3.9,35,35,0,4,0,0,226.1,256,109,98,22,44,13,91,4,0,4,954,1.325,108,2,10,10,10,10
