"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
9,"Craig Kimbrel\kimbrcr01","ATL",3,0,"1%",2.5,0,3,0,1.61,63,0,54,0,0,47,61.2,30,13,11,2,26,0,95,2,0,6,244,0.908,223,12,12,1,12,1
1,"Clayton Kershaw\kershcl01","LAD",210,30,"100%",7.7,21,3,0.875,1.77,27,27,0,6,2,0,198.1,139,42,39,9,31,0,239,2,2,7,749,0.857,197,1,3,2,1,2
2,"Johnny Cueto\cuetojo01","CIN",112,0,"53%",6.8,20,9,0.69,2.25,34,34,0,4,2,0,243.2,169,69,61,22,65,2,242,15,1,1,961,0.96,163,2,1,3,2,3
8,"Doug Fister\fistedo01","WSN",5,0,"2%",4.4,16,6,0.727,2.41,25,25,0,1,1,0,164,153,52,44,18,24,0,98,7,0,5,662,1.079,155,6,11,5,7,4
3,"Adam Wainwright\wainwad01","STL",97,0,"46%",6.1,20,9,0.69,2.38,32,32,0,5,3,0,227,184,64,60,10,50,5,179,7,1,4,898,1.031,153,3,8,4,4,5
6,"Cole Hamels\hamelco01","PHI",17,0,"8%",6.6,9,9,0.5,2.46,30,30,0,0,0,0,204.2,176,60,56,14,59,3,198,8,1,6,829,1.148,152,11,6,6,3,6
9,"Jake Arrieta\arrieja01","CHC",3,0,"1%",5.4,10,5,0.667,2.53,25,25,0,1,1,0,156.2,114,46,44,5,41,2,167,3,0,8,614,0.989,150,10,9,7,5,7
5,"Jordan Zimmermann\zimmejo02","WSN",25,0,"12%",4.8,14,5,0.737,2.66,32,32,0,3,2,0,199.2,185,67,59,13,29,0,182,6,0,4,800,1.072,141,7,7,9,6,8
12,"Henderson Alvarez\alvarhe01","MIA",1,0,"0%",4.4,12,7,0.632,2.65,30,30,0,3,3,0,187,198,65,55,14,33,3,111,8,0,4,772,1.235,140,9,10,8,8,9
7,"Zack Greinke\greinza01","LAD",6,0,"3%",4.4,17,8,0.68,2.71,32,32,0,0,0,0,202.1,190,69,61,19,43,3,207,2,0,12,821,1.152,129,5,5,10,9,10
9,"Stephen Strasburg\strasst01","WSN",3,0,"1%",3.4,14,11,0.56,3.14,34,34,0,0,0,0,215,198,86,75,23,43,4,242,5,0,7,868,1.121,119,8,2,12,11,11
4,"Madison Bumgarner\bumgama01","SFG",28,0,"13%",3.9,18,10,0.643,2.98,33,33,0,4,2,0,217.1,194,81,72,21,43,3,219,6,1,4,873,1.09,116,4,4,11,10,12
