"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
7,"Brian Wilson\wilsobr01","SFG",7,0,"3%",2.8,3,3,0.5,1.81,70,0,59,0,0,48,74.2,62,16,15,3,26,5,93,1,0,0,311,1.179,217,13,12,1,11,1
8,"Heath Bell\bellhe01","SDP",4,0,"2%",1.9,6,1,0.857,1.93,67,0,57,0,0,47,70,56,17,15,1,28,3,86,1,0,1,287,1.2,191,12,13,2,13,2
5,"Josh Johnson\johnsjo09","FLA",34,0,"15%",7,11,6,0.647,2.3,28,28,0,1,0,0,183.2,155,51,47,7,48,2,186,5,0,4,744,1.105,180,11,7,3,3,3
1,"Roy Halladay\hallaro01","PHI",224,32,"100%",8.6,21,10,0.677,2.44,33,33,0,9,4,0,250.2,231,74,68,24,30,1,219,6,1,5,993,1.041,167,1,2,5,1,4
3,"Ubaldo Jimenez\jimenub01","COL",90,0,"40%",7.5,19,8,0.704,2.88,33,33,0,4,2,0,221.2,164,73,71,10,92,7,214,9,1,16,894,1.155,161,3,3,8,2,5
2,"Adam Wainwright\wainwad01","STL",122,0,"54%",6.2,20,11,0.645,2.42,33,33,0,5,2,0,230.1,186,68,62,15,56,2,213,4,0,2,910,1.051,160,2,4,4,4,6
6,"Roy Oswalt\oswalro01","TOT",14,0,"6%",6,13,13,0.5,2.76,33,32,0,2,2,0,211.2,162,70,65,19,55,2,193,5,1,2,837,1.025,145,9,5,6,5,7
4,"Tim Hudson\hudsoti01","ATL",39,0,"17%",5.8,17,9,0.654,2.83,34,34,0,1,0,0,228.2,189,74,72,20,74,8,139,9,0,5,920,1.15,138,4,10,7,6,8
10,"Brett Myers\myersbr01","HOU",2,0,"1%",4.9,14,8,0.636,3.14,33,33,0,2,0,0,223.2,212,88,78,20,66,3,180,3,0,2,936,1.243,126,8,8,10,7,9
8,"Mat Latos\latosma01","SDP",4,0,"2%",3.2,14,10,0.583,2.92,31,31,0,1,1,0,184.2,150,63,60,16,50,3,189,2,1,5,748,1.083,126,7,6,9,10,10
12,"Matt Cain\cainma01","SFG",1,0,"0%",4.1,13,11,0.542,3.14,33,33,0,4,2,0,223.1,181,84,78,22,61,4,177,4,0,8,896,1.084,124,10,9,11,8,11
10,"Tim Lincecum\linceti01","SFG",2,0,"1%",3.3,16,10,0.615,3.43,33,33,0,1,1,0,212.1,194,84,81,18,76,7,231,5,0,9,897,1.272,114,6,1,12,9,12
12,"Bronson Arroyo\arroybr01","CIN",1,0,"0%",2.4,17,10,0.63,3.88,33,33,0,2,0,0,215.2,188,95,93,29,59,5,121,6,1,1,880,1.145,105,5,11,13,12,13
