"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
4,"Zach Britton\brittza01","BAL",72,5,"34%",4.2,2,1,0.667,0.54,69,0,63,0,0,47,67,38,7,4,1,18,3,74,0,0,10,254,0.836,803,11,11,1,10,1
9,"Andrew Miller\millean01","TOT",3,0,"1%",3.8,10,1,0.909,1.45,70,0,23,0,0,12,74.1,42,13,12,8,9,0,123,2,0,1,275,0.686,304,10,10,2,11,2
3,"Corey Kluber\klubeco01","CLE",98,3,"47%",5.8,18,9,0.667,3.14,32,32,0,3,2,0,215,170,82,75,22,57,1,227,7,1,5,860,1.056,144,3,3,7,2,3
7,"Aaron Sanchez\sanchaa01","TOR",6,0,"3%",5.1,15,2,0.882,3,30,30,0,0,0,0,192,161,69,64,15,63,0,161,5,0,5,790,1.167,142,6,8,3,6,4
1,"Rick Porcello\porceri01","BOS",137,8,"65%",4.8,22,4,0.846,3.15,33,33,0,3,0,0,223,193,85,78,23,32,0,189,13,0,3,890,1.009,142,1,4,8,8,5
2,"Justin Verlander\verlaju01","DET",132,14,"63%",7.2,16,9,0.64,3.04,34,34,0,2,0,0,227.2,171,81,77,30,57,1,254,8,0,6,903,1.001,140,5,1,4,1,6
7,"Masahiro Tanaka\tanakma01","NYY",6,0,"3%",5.2,14,4,0.778,3.07,31,31,0,0,0,0,199.2,179,75,68,22,36,0,165,3,0,7,805,1.077,140,7,6,6,5,7
10,"Michael Fulmer\fulmemi01","DET",1,0,"0%",5.3,11,7,0.611,3.06,26,26,0,1,1,0,159,136,57,54,16,42,1,132,9,1,1,647,1.119,139,9,9,5,4,8
6,"J.A. Happ\happja01","TOR",14,0,"7%",4.5,20,4,0.833,3.18,32,32,0,0,0,0,195,168,72,69,22,60,0,163,6,2,3,796,1.169,134,2,7,9,9,9
10,"Jose Quintana\quintjo01","CHW",1,0,"0%",5.4,13,12,0.52,3.2,32,32,0,0,0,0,208,192,76,74,22,50,1,181,4,1,10,837,1.163,126,8,5,10,3,10
5,"Chris Sale\salech01","CHW",40,0,"19%",5,17,10,0.63,3.34,32,32,0,6,1,0,226.2,190,88,84,27,45,2,233,17,0,2,907,1.037,121,4,2,11,7,11
