"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
9,"Buzz Capra\caprabu01","ATL",1,0,"1%",5.4,16,8,0.667,2.28,39,27,6,11,5,1,217,163,67,55,13,84,6,137,3,1,7,886,1.138,166,6,7,2,2,1
8,"Clay Carroll\carrocl02","CIN",2,0,"2%",2.5,12,5,0.706,2.15,57,3,30,0,0,6,100.2,96,27,24,3,30,9,46,0,1,3,419,1.252,163,9,11,1,7,2
3,"Phil Niekro\niekrph01","ATL",15,1,"13%",7.9,20,13,0.606,2.38,41,39,1,18,6,1,302.1,249,91,80,19,88,3,195,6,4,6,1219,1.115,159,2,2,3,1,3
1,"Mike Marshall\marshmi01","LAD",96,17,"80%",3.1,15,12,0.556,2.42,106,0,83,0,0,21,208.1,191,66,56,9,56,1,143,1,3,5,857,1.186,141,8,5,4,5,4
9,"Lynn McGlothen\mcgloly01","STL",1,0,"1%",4.9,16,12,0.571,2.69,31,31,0,8,3,0,237.1,212,80,71,12,89,14,142,2,0,6,988,1.268,134,7,6,6,4,5
2,"Andy Messersmith\messean01","LAD",66,5,"55%",5.3,20,6,0.769,2.59,39,39,0,13,3,0,292.1,227,93,84,24,94,0,221,3,3,6,1179,1.098,132,1,1,5,3,6
5,"Al Hrabosky\hraboal01","STL",9,0,"8%",0.9,8,1,0.889,2.95,65,0,31,0,0,9,88.1,71,34,29,3,38,7,82,1,0,4,368,1.234,122,10,9,7,10,7
7,"Don Gullett\gulledo01","CIN",5,0,"4%",2.8,17,11,0.607,3.04,36,35,1,10,3,0,243,201,93,82,22,88,8,183,2,0,8,1010,1.189,115,5,3,8,6,8
4,"Don Sutton\suttodo01","LAD",12,1,"10%",2.5,19,9,0.679,3.23,40,40,0,10,5,0,276,241,111,99,23,80,2,179,6,2,4,1148,1.163,106,3,4,9,8,9
9,"Dave Giusti\giustda01","PIT",1,0,"1%",1.1,7,5,0.583,3.32,64,2,41,0,0,12,105.2,101,43,39,2,40,11,53,0,1,7,445,1.334,104,11,10,10,9,10
6,"Jack Billingham\billija01","CIN",8,0,"7%",-0.1,19,11,0.633,3.94,36,35,1,8,3,0,212.1,233,105,93,16,64,9,103,6,2,4,899,1.399,89,4,8,11,11,11
