Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Roger Clemens\clemero02,BOS,140.0,28.0,100%,8.9,24,4,.857,2.48,33,33,0,10,1,0,254.0,179,77,70,21,67,0,238,4,3,11,997,0.969,169
2,Teddy Higuera\higuete01,MIL,42.0,0.0,30%,9.4,20,11,.645,2.79,34,34,0,15,4,0,248.1,226,84,77,26,74,5,207,3,0,3,1031,1.208,156
3,Mike Witt\wittmi01,CAL,35.0,0.0,25%,6.1,18,10,.643,2.84,34,34,0,14,3,0,269.0,218,95,85,22,73,2,208,3,0,6,1071,1.082,144
4,Dave Righetti\righeda01,NYY,20.0,0.0,14%,3.8,8,8,.500,2.45,74,0,68,0,0,46,106.2,88,31,29,4,35,7,83,2,0,1,435,1.153,168
5,Jack Morris\morrija02,DET,13.0,0.0,9%,5.2,21,8,.724,3.27,35,35,0,15,6,0,267.0,229,105,97,40,82,7,223,0,0,12,1092,1.165,127
6,Mark Eichhorn\eichhma01,TOR,2.0,0.0,1%,7.3,14,6,.700,1.72,69,0,38,0,0,10,157.0,105,32,30,8,45,14,166,7,1,2,612,0.955,246
1,Mike Scott\scottmi03,HOU,98.0,15.0,82%,8.4,18,10,.643,2.22,37,37,0,7,5,0,275.1,182,73,68,17,72,6,306,2,0,3,1065,0.923,161
2,Fernando Valenzuela\valenfe01,LAD,88.0,9.0,73%,5.5,21,11,.656,3.14,34,34,0,20,3,0,269.1,226,104,94,18,85,5,242,1,0,13,1102,1.155,110
3,Mike Krukow\krukomi01,SFG,15.0,0.0,13%,3.4,20,9,.690,3.05,34,34,0,10,2,0,245.0,204,90,83,24,55,4,178,4,0,4,987,1.057,116
4,Bob Ojeda\ojedabo01,NYM,9.0,0.0,8%,4.7,18,5,.783,2.57,32,30,1,7,2,0,217.1,185,72,62,15,52,3,148,2,1,2,871,1.090,140
5,Ron Darling\darliro01,NYM,2.0,0.0,2%,4.6,15,6,.714,2.81,34,34,0,4,2,0,237.0,203,84,74,21,81,2,184,3,3,7,967,1.198,128
5,Rick Rhoden\rhoderi01,PIT,2.0,0.0,2%,6.6,15,12,.556,2.84,34,34,0,12,1,0,253.2,211,82,80,17,76,8,159,2,4,6,1015,1.131,135
7,Sid Fernandez\fernasi01,NYM,1.0,0.0,1%,2.6,16,6,.727,3.52,32,31,1,2,1,1,204.1,161,82,80,13,91,1,200,2,0,6,855,1.233,102
7,Dwight Gooden\goodedw01,NYM,1.0,0.0,1%,4.5,17,6,.739,2.84,33,33,0,12,2,0,250.0,197,92,79,17,80,3,200,4,4,4,1020,1.108,126
