Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Zack Greinke\greinza01,KCR,134.0,25.0,96%,10.4,16,8,.667,2.16,33,33,0,6,3,0,229.1,195,64,55,11,51,0,242,4,0,5,915,1.073,205
2,Felix Hernandez\hernafe02,SEA,80.0,2.0,57%,5.9,19,5,.792,2.49,34,34,0,2,1,0,238.2,200,81,66,15,71,0,217,8,1,17,977,1.135,171
3,Justin Verlander\verlaju01,DET,14.0,1.0,10%,5.5,19,9,.679,3.45,35,35,0,3,1,0,240.0,219,99,92,20,63,5,269,6,4,8,982,1.175,131
4,CC Sabathia\sabatc.01,NYY,13.0,0.0,9%,6.2,19,8,.704,3.37,34,34,0,2,1,0,230.0,197,96,86,18,67,7,197,9,0,5,938,1.148,137
5,Roy Halladay\hallaro01,TOR,11.0,0.0,8%,6.9,17,10,.630,2.79,32,32,0,9,4,0,239.0,234,82,74,22,35,0,208,5,0,2,963,1.126,159
1,Tim Lincecum\linceti01,SFG,100.0,11.0,63%,7.4,15,7,.682,2.48,32,32,0,4,2,0,225.1,168,69,62,10,68,2,261,6,0,11,905,1.047,171
2,Chris Carpenter\carpech01,STL,94.0,9.0,59%,6.5,17,4,.810,2.24,28,28,0,3,1,0,192.2,156,49,48,7,38,1,144,7,0,1,750,1.007,182
3,Adam Wainwright\wainwad01,STL,90.0,12.0,56%,6.3,19,8,.704,2.63,34,34,0,1,0,0,233.0,216,75,68,17,66,1,212,3,0,7,970,1.210,155
4,Javier Vazquez\vazquja01,ATL,3.0,0.0,2%,6.2,15,10,.600,2.87,32,32,0,3,0,0,219.1,181,75,70,20,44,2,238,4,0,6,874,1.026,143
5,Dan Haren\harenda01,ARI,1.0,0.0,1%,6.5,14,10,.583,3.14,33,33,0,3,1,0,229.1,192,83,80,27,38,2,223,4,0,13,909,1.003,142
