Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Pete Vuckovich\vuckope01,MIL,87.0,14.0,62%,2.8,18,6,.750,3.34,30,30,0,9,1,0,223.2,234,96,83,14,102,1,105,5,0,6,971,1.502,114
2,Jim Palmer\palmeji01,BAL,59.0,4.0,42%,4.8,15,5,.750,3.13,36,32,1,8,2,1,227.0,195,85,79,22,63,1,103,4,1,2,920,1.137,129
3,Dan Quisenberry\quiseda01,KCR,40.0,4.0,29%,3.3,9,7,.563,2.57,72,0,68,0,0,35,136.2,126,43,39,12,12,2,46,0,0,1,529,1.010,159
4,Dave Stieb\stiebda01,TOR,36.0,5.0,26%,7.7,17,14,.548,3.25,38,38,0,19,5,0,288.1,271,116,104,27,75,4,141,5,1,3,1187,1.200,138
5,Rick Sutcliffe\sutclri01,CLE,14.0,1.0,10%,5.7,14,8,.636,2.96,34,27,3,6,1,1,216.0,174,81,71,16,98,2,142,4,1,6,887,1.259,140
6,Geoff Zahn\zahnge01,CAL,7.0,0.0,5%,2.8,18,8,.692,3.73,34,34,0,12,4,0,229.1,225,100,95,18,65,5,81,4,0,2,944,1.265,109
7,Bill Caudill\caudibi01,SEA,4.0,0.0,3%,4.4,12,9,.571,2.35,70,0,64,0,0,26,95.2,65,25,25,9,35,4,111,1,0,2,380,1.045,181
7,Bob Stanley\stanlbo01,BOS,4.0,0.0,3%,4.5,12,7,.632,3.10,48,0,33,0,0,14,168.1,161,60,58,11,50,6,83,4,0,2,694,1.253,140
9,Dan Petry\petryda01,DET,1.0,0.0,1%,4.2,15,9,.625,3.22,35,35,0,8,1,0,246.0,220,98,88,15,100,5,132,4,0,9,1031,1.301,126
1,Steve Carlton\carltst01,PHI,112.0,20.0,93%,5.5,23,11,.676,3.10,38,38,0,19,6,0,295.2,253,114,102,17,86,5,286,1,9,9,1193,1.147,119
2,Steve Rogers\rogerst01,MON,29.0,1.0,24%,7.7,19,8,.704,2.40,35,35,0,14,4,0,277.0,245,84,74,12,65,7,179,6,0,3,1122,1.119,152
3,Bruce Sutter\suttebr01,STL,25.0,2.0,21%,1.0,9,8,.529,2.90,70,0,58,0,0,36,102.1,88,38,33,8,34,13,61,3,0,5,424,1.192,126
3,Fernando Valenzuela\valenfe01,LAD,25.0,1.0,21%,5.0,19,13,.594,2.87,37,37,0,18,4,0,285.0,247,105,91,13,83,12,199,2,0,4,1156,1.158,122
5,Phil Niekro\niekrph01,ATL,18.0,0.0,15%,3.1,17,4,.810,3.61,35,35,0,4,2,0,234.1,225,106,94,23,73,1,144,3,1,4,969,1.272,104
6,Greg Minton\mintogr01,SFG,4.0,0.0,3%,5.4,10,4,.714,1.83,78,0,66,0,0,30,123.0,108,29,25,5,42,17,58,2,0,7,496,1.220,196
7,Joaquin Andujar\andujjo01,STL,1.0,0.0,1%,5.8,15,10,.600,2.47,38,37,1,9,5,0,265.2,237,85,73,11,50,7,137,7,2,3,1056,1.080,148
7,Gene Garber\garbege01,ATL,1.0,0.0,1%,2.7,8,10,.444,2.34,69,0,56,0,0,30,119.1,100,40,31,4,32,16,68,2,0,1,480,1.106,161
9,Mario Soto\sotoma01,CIN,0.0,0.0,0%,7.5,14,13,.519,2.79,35,34,1,13,2,0,257.2,202,88,80,19,71,3,274,4,1,6,1033,1.060,132
