Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Roger Clemens\clemero02,TOR,134.0,25.0,96%,11.9,21,7,.750,2.05,34,34,0,9,3,0,264.0,204,65,60,9,68,1,292,12,0,4,1044,1.030,222
2,Randy Johnson\johnsra05,SEA,77.0,2.0,55%,8.0,20,4,.833,2.28,30,29,0,5,2,0,213.0,147,60,54,20,77,2,291,10,0,4,850,1.052,197
3,Brad Radke\radkebr01,MIN,17.0,0.0,12%,4.6,20,10,.667,3.87,35,35,0,4,1,0,239.2,238,114,103,28,48,1,174,3,1,1,989,1.193,120
4,Randy Myers\myersra01,BAL,14.0,1.0,10%,3.1,2,3,.400,1.51,61,0,57,0,0,45,59.2,47,12,10,2,22,2,56,0,0,3,241,1.156,293
5,Andy Pettitte\pettian01,NYY,9.0,0.0,6%,8.4,18,7,.720,2.88,35,35,0,4,1,0,240.1,233,86,77,7,65,0,166,3,0,7,986,1.240,156
6,Mike Mussina\mussimi01,BAL,1.0,0.0,1%,5.5,15,8,.652,3.20,33,33,0,4,1,0,224.2,197,87,80,27,54,3,218,3,0,5,905,1.117,137
1,Pedro Martinez\martipe02,MON,134.0,25.0,96%,9.0,17,8,.680,1.90,31,31,0,13,4,0,241.1,158,65,51,16,67,5,305,9,1,3,947,0.932,219
2,Greg Maddux\maddugr01,ATL,75.0,3.0,54%,7.8,19,4,.826,2.20,33,33,0,5,2,0,232.2,200,58,57,9,20,6,177,6,0,0,893,0.946,189
3,Denny Neagle\neaglde01,ATL,24.0,0.0,17%,4.5,20,5,.800,2.97,34,34,0,4,4,0,233.1,204,87,77,18,49,5,172,6,0,3,947,1.084,140
4,Curt Schilling\schilcu01,PHI,12.0,0.0,9%,6.3,17,11,.607,2.97,35,35,0,7,2,0,254.1,208,96,84,25,58,3,319,5,1,5,1009,1.046,143
5,Darryl Kile\kileda01,HOU,7.0,0.0,5%,5.4,19,7,.731,2.57,34,34,0,6,4,0,255.2,208,87,73,19,94,2,205,10,1,7,1056,1.181,156
