Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Sparky Lyle\lylesp01,NYY,56.0,9.0,40%,3.7,13,5,.722,2.17,72,0,60,0,0,26,137.0,131,41,33,7,33,6,68,2,0,10,554,1.197,183
2,Jim Palmer\palmeji01,BAL,48.0,6.0,34%,7.4,20,11,.645,2.91,39,39,0,22,3,0,319.0,263,106,103,24,99,1,193,3,0,7,1269,1.135,131
3,Nolan Ryan\ryanno01,CAL,46.0,6.0,33%,7.9,19,16,.543,2.77,37,37,0,22,4,0,299.0,198,110,92,12,204,7,341,9,3,21,1272,1.344,141
4,Dennis Leonard\leonade01,KCR,45.0,5.0,32%,5.6,20,12,.625,3.04,38,37,1,21,5,1,292.2,246,117,99,18,79,0,244,8,2,14,1186,1.110,134
5,Bill Campbell\campbbi02,BOS,25.0,1.0,18%,4.8,13,9,.591,2.96,69,0,60,0,0,31,140.0,112,48,46,13,60,10,114,5,1,3,583,1.229,153
6,Dave Goltz\goltzda01,MIN,19.0,1.0,14%,5.6,20,11,.645,3.36,39,39,0,19,2,0,303.0,284,129,113,23,91,4,186,2,1,9,1253,1.238,119
7,Ron Guidry\guidrro01,NYY,5.0,0.0,4%,4.8,16,7,.696,2.82,31,25,4,9,5,1,210.2,174,72,66,12,65,2,176,0,0,6,850,1.134,140
8,Dave Rozema\rozemda01,DET,4.0,0.0,3%,5.7,15,7,.682,3.09,28,28,0,16,1,0,218.1,222,87,75,25,34,4,92,7,2,2,890,1.173,139
9,Frank Tanana\tananfr01,CAL,3.0,0.0,2%,8.3,15,9,.625,2.54,31,31,0,20,7,0,241.1,201,72,68,19,61,2,205,12,1,8,973,1.086,154
1,Steve Carlton\carltst01,PHI,104.0,17.0,87%,5.9,23,10,.697,2.64,36,36,0,17,2,0,283.0,229,99,83,25,89,5,198,4,7,3,1135,1.124,153
2,Tommy John\johnto01,LAD,54.0,3.0,45%,4.4,20,7,.741,2.78,31,31,0,11,3,0,220.1,225,82,68,12,50,3,123,3,0,6,906,1.248,138
3,Rick Reuschel\reuscri01,CHC,18.0,1.0,15%,9.4,20,10,.667,2.79,39,37,2,8,4,1,252.0,233,84,78,13,74,11,166,5,1,9,1030,1.218,158
3,Tom Seaver\seaveto01,TOT,18.0,2.0,15%,7.9,21,6,.778,2.58,33,33,0,19,7,0,261.1,199,78,75,19,66,6,196,0,1,7,1031,1.014,149
5,John Candelaria\candejo01,PIT,17.0,1.0,14%,7.4,20,5,.800,2.34,33,33,0,6,1,0,230.2,197,64,60,29,50,2,133,2,2,1,917,1.071,169
6,Bruce Sutter\suttebr01,CHC,5.0,0.0,4%,6.6,7,3,.700,1.34,62,0,48,0,0,31,107.1,69,21,16,5,23,7,129,1,0,7,411,0.857,328
