Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Dennis Eckersley\eckerde01,OAK,107.0,19.0,76%,2.9,7,1,.875,1.91,69,0,65,0,0,51,80.0,62,17,17,5,11,6,93,1,0,0,309,0.913,195
2,Jack McDowell\mcdowja01,CHW,51.0,2.0,36%,5.3,20,10,.667,3.18,34,34,0,13,1,0,260.2,247,95,92,21,75,9,178,7,0,6,1079,1.235,122
3,Roger Clemens\clemero02,BOS,48.0,4.0,34%,8.8,18,11,.621,2.41,32,32,0,11,5,0,246.2,203,80,66,11,62,5,208,9,0,3,989,1.074,174
4,Mike Mussina\mussimi01,BAL,26.0,2.0,19%,8.2,18,5,.783,2.54,32,32,0,8,4,0,241.0,212,70,68,16,48,2,130,2,0,6,957,1.079,157
5,Jack Morris\morrija02,TOR,10.0,1.0,7%,2.8,21,6,.778,4.04,34,34,0,6,1,0,240.2,222,114,108,18,80,2,132,10,2,9,1005,1.255,101
6,Kevin Brown\brownke01,TEX,9.0,0.0,6%,4.8,21,11,.656,3.32,35,35,0,11,1,0,265.2,262,117,98,11,76,2,173,10,2,8,1108,1.272,116
7,Charles Nagy\nagych01,CLE,1.0,0.0,1%,6.0,17,10,.630,2.96,33,33,0,10,3,0,252.0,245,91,83,11,57,1,169,2,0,7,1018,1.198,132
1,Greg Maddux\maddugr01,CHC,112.0,20.0,93%,9.1,20,11,.645,2.18,35,35,0,9,4,0,268.0,201,68,65,7,70,7,199,14,0,5,1061,1.011,166
2,Tom Glavine\glavito02,ATL,78.0,4.0,65%,3.8,20,8,.714,2.76,33,33,0,7,5,0,225.0,197,81,69,6,70,7,129,2,0,5,919,1.187,134
3,Bob Tewksbury\tewksbo01,STL,22.0,0.0,18%,6.4,16,5,.762,2.16,33,32,1,5,0,0,233.0,217,63,56,15,20,0,91,3,0,2,915,1.017,158
4,Lee Smith\smithle02,STL,3.0,0.0,3%,0.6,4,9,.308,3.12,70,0,55,0,0,43,75.0,62,28,26,4,26,4,60,0,0,2,310,1.173,110
5,Doug Drabek\drabedo01,PIT,1.0,0.0,1%,5.3,15,11,.577,2.77,34,34,0,10,4,0,256.2,218,84,79,17,54,8,177,6,1,11,1021,1.060,126
