Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,CC Sabathia\sabatc.01,CLE,119.0,19.0,85%,6.3,19,7,.731,3.21,34,34,0,4,1,0,241.0,238,94,86,20,37,1,209,8,0,1,975,1.141,141
2,Josh Beckett\beckejo02,BOS,86.0,8.0,61%,6.5,20,7,.741,3.27,30,30,0,1,0,0,200.2,189,76,73,17,40,0,194,5,0,3,822,1.141,145
3,John Lackey\lackejo01,LAA,36.0,1.0,26%,6.3,19,9,.679,3.01,33,33,0,2,2,0,224.0,219,87,75,18,52,2,179,12,1,9,929,1.210,150
4,Roberto Hernandez\carmofa01,CLE,7.0,0.0,5%,6.2,19,8,.704,3.06,32,32,0,2,1,0,215.0,199,78,73,16,61,2,137,11,1,5,879,1.209,148
5,Erik Bedard\bedarer01,BAL,1.0,0.0,1%,5.7,13,5,.722,3.16,28,28,0,1,1,0,182.0,141,66,64,19,57,0,221,5,0,3,733,1.088,146
5,Roy Halladay\hallaro01,TOR,1.0,0.0,1%,3.5,16,7,.696,3.71,31,31,0,7,1,0,225.1,232,101,93,15,48,3,139,3,0,4,927,1.243,121
5,Johan Santana\santajo02,MIN,1.0,0.0,1%,5.0,15,13,.536,3.33,33,33,0,1,1,0,219.0,183,88,81,33,52,0,235,4,1,7,878,1.073,129
5,Justin Verlander\verlaju01,DET,1.0,0.0,1%,4.2,18,6,.750,3.66,32,32,0,1,1,0,201.2,181,88,82,20,67,3,183,19,2,17,866,1.230,125
1,Jake Peavy\peavyja01,SDP,160.0,32.0,100%,6.2,19,6,.760,2.54,34,34,0,0,0,0,223.1,169,67,63,13,68,5,240,6,0,4,898,1.061,158
2,Brandon Webb\webbbr01,ARI,94.0,0.0,59%,6.4,18,10,.643,3.01,34,34,0,4,3,0,236.1,209,91,79,12,72,6,194,5,0,3,975,1.189,158
3,Brad Penny\pennybr01,LAD,14.0,0.0,9%,6.0,16,4,.800,3.03,33,33,0,0,0,0,208.0,199,75,70,9,73,2,135,5,0,6,865,1.308,147
4,Aaron Harang\haranaa01,CIN,10.0,0.0,6%,6.0,16,6,.727,3.73,34,34,0,2,1,0,231.2,213,100,96,28,52,3,218,8,1,12,948,1.144,124
5,Carlos Zambrano\zambrca01,CHC,3.0,0.0,2%,3.4,18,13,.581,3.95,34,34,0,1,0,0,216.1,187,100,95,23,101,4,177,14,0,3,925,1.331,117
6,Cole Hamels\hamelco01,PHI,2.0,0.0,1%,4.0,15,5,.750,3.39,28,28,0,2,0,0,183.1,163,72,69,25,43,4,177,3,0,5,743,1.124,135
6,John Smoltz\smoltjo01,ATL,2.0,0.0,1%,4.6,14,8,.636,3.11,32,32,0,0,0,0,205.2,196,78,71,18,47,9,197,4,0,8,853,1.182,140
6,Jose Valverde\valvejo01,ARI,2.0,0.0,1%,2.2,1,4,.200,2.66,65,0,59,0,0,47,64.1,46,21,19,7,26,1,78,3,0,1,265,1.119,179
9,Jeff Francis\francje01,COL,1.0,0.0,1%,3.9,17,9,.654,4.22,34,34,0,1,1,0,215.1,234,103,101,25,63,7,165,7,1,1,922,1.379,114
