"YEAR","SO","BB","1B","2B","3B","HR"
1900,6.1626195732156,6.97203826342899,25.0316479513298,3.29286239882266,1.3980868285504,0.588668138337012
1901,8.20011284558962,6.43219860823773,24.536080716538,3.44179048335528,1.44818506676697,0.526612751551627
1902,7.86026200873363,6.45528764002278,24.0566471154242,3.36054680083539,1.15815454718056,0.417695082589709
1903,9.45997702029874,6.4343163538874,23.5649458196262,3.6384527001149,1.39793182688625,0.402144772117962
1904,10.2073085031623,6.13141250878426,22.2810775093843,3.12719606465214,1.26493323963457,0.368938861560084
1905,10.4203152364273,6.77758318739054,22.1413564551697,3.13485113835377,1.22591943957968,0.367775831873905
1906,10.1534618129907,6.88793718772305,21.9422906346593,2.94432548179872,1.12419700214133,0.285510349750178
1907,9.84132643965056,6.79265466215012,21.874082292864,2.74558744874309,1.06970939561419,0.267427348903548
1908,9.99823664256745,6.45388820313878,21.1744526416951,2.78610474343149,1.11091518250749,0.299770763533768
1909,10.2662929222144,7.13034337771549,21.4559877112196,2.90819901892081,1.10371408549404,0.28030833917309
1910,10.4041272570937,7.97936371453138,21.7768261730085,3.02665520206363,1.25537403267412,0.395528804815133
1911,10.4967676080299,8.33616876488601,23.2149197687677,3.47056822048316,1.41204491323579,0.544402858115005
1912,10.3809196980096,8.23610157858614,23.5322201437785,3.60329444063143,1.45847632120796,0.480439258750858
1913,10.0992512624064,7.9052759881595,22.7890692903888,3.34320041790005,1.37558767194846,0.50496256312032
1914,10.6162610046608,8.0096668392888,22.3011850019052,3.33160711203176,1.24287933713102,0.517866390471258
1915,10.1336109665105,8.03401006420267,21.9327650657203,3.27954190525768,1.2840534443866,0.451153912892591
1916,10.3025064822818,7.64044943820225,21.8344913416437,3.23249783923941,1.22731201382887,0.414866032843561
1917,9.37014667817084,7.45470232959448,21.902878102199,3.14063848144953,1.22519413287317,0.362381363244176
1918,7.78619528619529,7.5547138047138,22.3795368103028,3.0513468013468,1.15740740740741,0.315656565656566
1919,8.15393408268242,7.12516669841875,23.2753439577764,3.48637835778243,1.25738235854448,0.533434939988569
1920,7.65331981753675,7.19716168271668,24.4836662859854,3.81821253590133,1.33468491299206,0.658895083628991
1921,7.27546412443552,7.15838769024921,25.7974075009313,4.1645760160562,1.42164241511959,0.98678708814183
1922,7.21649484536082,7.5324243431992,25.4655554288635,4.1070834718989,1.29697372796807,1.09743930828068
1923,7.29720744680851,7.8623670212766,25.0620574743945,4.07247340425532,1.18018617021277,1.01396276595745
1924,6.96075142569607,7.71553170077155,25.3364509949573,4.27708822542771,1.22442133512244,0.939282120093928
1925,6.92921236291127,8.04253904951811,25.7572414030756,4.50315719508142,1.21302758391492,1.21302758391492
1926,7.12724827702135,8.08539250294167,24.5844398064899,4.35367288619936,1.21028744326778,0.907715582450832
1927,7.21338912133891,7.78242677824268,24.9621680292712,4.3347280334728,1.20502092050209,0.97071129707113
