"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
1,"Eric Gagne\gagneer01","LAD",146,28,"91%",3.7,2,3,0.4,1.2,77,0,67,0,0,55,82.1,37,12,11,2,20,2,137,3,0,2,306,0.692,337,4,4,1,3,1
2,"Jason Schmidt\schmija01","SFG",73,2,"46%",6.7,17,5,0.773,2.34,29,29,0,5,3,0,207.2,152,56,54,14,46,1,208,5,1,7,819,0.953,180,3,2,2,2,2
3,"Mark Prior\priorma01","CHC",60,2,"38%",7.4,18,6,0.75,2.43,30,30,0,3,1,0,211.1,183,67,57,15,50,4,245,9,0,9,863,1.103,179,2,1,3,1,3
4,"Russ Ortiz\ortizru01","ATL",9,0,"6%",2.3,21,7,0.75,3.81,34,34,0,1,1,0,212.1,177,101,90,17,102,7,149,4,0,5,912,1.314,113,1,3,4,4,4
