"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
1,"David Cone\coneda01","KCR",108,15,"77%",6.9,16,5,0.762,2.94,23,23,0,4,3,0,171.2,130,60,56,15,54,0,132,7,1,5,690,1.072,171,2,2,1,1,1
4,"Mike Mussina\mussimi01","BAL",23,1,"16%",5.4,16,5,0.762,3.06,24,24,0,3,0,0,176.1,163,63,60,19,42,1,99,1,0,0,712,1.163,164,3,3,2,3,2
5,"Lee Smith\smithle02","BAL",1,0,"1%",0.8,1,4,0.2,3.29,41,0,39,0,0,33,38.1,34,16,14,6,11,1,42,0,0,0,160,1.174,153,5,5,5,5,3
3,"Randy Johnson\johnsra05","SEA",24,2,"17%",5.5,13,6,0.684,3.19,23,23,0,9,4,0,172,132,65,61,14,72,2,204,6,0,5,694,1.186,152,4,1,3,2,4
2,"Jimmy Key\keyji01","NYY",96,10,"69%",4.4,17,4,0.81,3.27,25,25,0,1,0,0,168,177,68,61,10,52,0,97,3,1,8,710,1.363,140,1,4,4,4,5
