"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
5,"CC Sabathia\sabatc.01","MIL",9,1,"6%",4.9,11,2,0.846,1.65,17,17,0,7,3,0,130.2,106,31,24,6,25,0,128,4,0,1,516,1.003,255,5,5,1,5,1
4,"Brad Lidge\lidgebr01","PHI",10,0,"6%",2.4,2,0,1,1.95,72,0,61,0,0,41,69.1,50,17,15,2,35,4,92,1,0,5,292,1.226,224,6,6,2,6,2
1,"Tim Lincecum\linceti01","SFG",137,23,"86%",7.8,18,5,0.783,2.62,34,33,0,2,1,0,227,182,72,66,11,84,1,265,6,2,17,928,1.172,168,2,1,4,1,3
3,"Johan Santana\santajo02","NYM",55,4,"34%",7.1,16,7,0.696,2.53,34,34,0,3,2,0,234.1,206,74,66,23,63,5,206,4,2,9,964,1.148,166,4,2,3,2,4
6,"Ryan Dempster\dempsry01","CHC",4,0,"3%",6.9,17,6,0.739,2.96,33,33,0,1,0,0,206.2,174,75,68,14,76,1,187,7,0,5,856,1.21,154,3,3,5,3,5
2,"Brandon Webb\webbbr01","ARI",73,4,"46%",5.7,22,7,0.759,3.3,34,34,0,3,1,0,226.2,206,95,83,13,65,5,183,12,1,8,944,1.196,140,1,4,6,4,6
