"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
5,"Rawly Eastwick\eastwra01","CIN",6,0,"5%",2.8,11,5,0.688,2.09,71,0,59,0,0,26,107.2,93,30,25,3,27,3,70,2,0,1,439,1.115,168,8,8,1,8,1
8,"Tom Seaver\seaveto01","NYM",1,0,"1%",5.4,14,11,0.56,2.59,35,34,0,13,5,0,271,211,83,78,14,77,9,235,4,0,12,1079,1.063,126,7,1,2,1,2
2,"Jerry Koosman\koosmje01","NYM",69,7,"58%",4.7,21,10,0.677,2.69,34,32,0,17,3,0,247.1,205,81,74,19,66,7,200,1,1,3,994,1.096,121,2,3,3,3,3
1,"Randy Jones\jonesra01","SDP",96,15,"80%",4.8,22,14,0.611,2.74,40,40,0,25,5,0,315.1,274,109,96,15,50,9,93,4,1,0,1251,1.027,119,1,7,4,2,4
7,"J.R. Richard\richaj.01","HOU",2,0,"2%",3.6,20,15,0.571,2.75,39,39,0,14,3,0,291,221,105,89,14,151,4,214,4,2,13,1218,1.278,116,5,2,5,6,5
4,"Steve Carlton\carltst01","PHI",11,0,"9%",3.9,20,7,0.741,3.13,35,35,0,13,2,0,252.2,224,94,88,19,72,4,195,1,3,8,1031,1.172,113,4,4,8,5,6
6,"Jon Matlack\matlajo01","NYM",5,1,"4%",4.2,17,10,0.63,2.95,35,35,0,16,6,0,262,236,94,86,18,57,5,153,3,3,13,1054,1.118,111,6,6,6,4,7
3,"Don Sutton\suttodo01","LAD",25,1,"21%",3.1,21,10,0.677,3.06,35,34,1,15,4,0,267.2,231,98,91,22,82,6,161,3,1,4,1093,1.169,110,3,5,7,7,8
