"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
4,"Craig Kimbrel\kimbrcr01","ATL",39,0,"19%",3.1,4,3,0.571,1.21,68,0,60,0,0,50,67,39,10,9,4,20,2,98,3,0,3,258,0.881,311,10,10,1,10,1
1,"Clayton Kershaw\kershcl01","LAD",207,29,"99%",8,16,9,0.64,1.83,33,33,0,3,2,0,236,164,55,48,11,52,2,232,3,2,12,908,0.915,194,3,1,2,1,2
3,"Jose Fernandez\fernajo02","MIA",62,0,"30%",6.3,12,6,0.667,2.19,28,28,0,0,0,0,172.2,111,47,42,10,58,5,187,5,1,3,681,0.979,176,8,6,3,3,3
4,"Matt Harvey\harvema01","NYM",39,0,"19%",5.4,9,5,0.643,2.27,26,26,0,1,1,0,178.1,135,46,45,7,31,1,191,4,0,2,690,0.931,157,9,5,4,5,4
8,"Zack Greinke\greinza01","LAD",19,0,"9%",4.2,15,4,0.789,2.63,28,28,0,1,1,0,177.2,152,54,52,13,46,1,148,7,0,5,717,1.114,135,5,9,5,6,5
6,"Cliff Lee\leecl02","PHI",32,0,"15%",6.8,14,8,0.636,2.87,31,31,0,2,1,0,222.2,193,77,71,22,32,0,222,4,0,1,876,1.01,131,6,2,7,2,6
2,"Adam Wainwright\wainwad01","STL",86,1,"41%",6.2,19,9,0.679,2.94,34,34,0,5,2,0,241.2,223,83,79,15,35,2,219,6,0,5,956,1.068,127,1,3,8,4,7
9,"Madison Bumgarner\bumgama01","SFG",3,0,"1%",4,13,9,0.591,2.77,31,31,0,0,0,0,201.1,146,68,62,15,62,6,199,6,0,6,803,1.033,124,7,4,6,7,8
9,"Francisco Liriano\liriafr01","PIT",3,0,"1%",3.2,16,8,0.667,3.02,26,26,0,2,0,0,161,134,54,54,9,63,0,163,0,2,7,666,1.224,118,4,7,9,9,9
7,"Jordan Zimmermann\zimmejo02","WSN",21,0,"10%",3.8,19,9,0.679,3.25,32,32,0,4,2,0,213.1,192,81,77,19,40,0,161,7,0,3,865,1.088,116,2,8,10,8,10
