"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
7,"Ron Perranoski\perraro01","MIN",5,1,"4%",2.3,7,8,0.467,2.43,67,0,52,0,0,34,111,108,38,30,7,42,7,55,1,0,1,471,1.351,157,7,7,1,7,1
3,"Sam McDowell\mcdowsa01","CLE",45,4,"38%",8.3,20,12,0.625,2.92,39,39,2,19,1,0,305,236,108,99,25,131,10,304,7,0,17,1257,1.203,134,5,1,4,1,2
5,"Jim Palmer\palmeji01","BAL",11,1,"9%",6.4,20,10,0.667,2.71,39,39,0,17,5,0,305,263,98,92,21,100,4,199,1,3,10,1257,1.19,134,6,2,2,2,3
6,"Clyde Wright\wrighcl01","CAL",9,1,"8%",3.8,22,12,0.647,2.83,39,39,0,7,2,0,260.2,226,97,82,24,88,4,110,7,0,8,1086,1.205,128,4,6,3,3,4
1,"Jim Perry\perryji01","MIN",55,6,"46%",3.8,24,12,0.667,3.04,40,40,0,13,4,0,278.2,258,112,94,20,57,10,168,9,0,3,1141,1.13,125,1,5,5,4,5
2,"Dave McNally\mcnalda01","BAL",47,5,"39%",3.8,24,9,0.727,3.22,40,40,0,16,1,0,296,277,114,106,29,78,3,185,7,0,8,1218,1.199,113,2,4,6,5,6
4,"Mike Cuellar\cuellmi01","BAL",44,6,"37%",2.8,24,8,0.75,3.48,40,40,0,21,4,0,297.2,273,126,115,34,69,5,190,1,1,6,1214,1.149,105,3,3,7,6,7
