"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
5,"Randy Myers\myersra01","CIN",1,0,"1%",3.1,4,6,0.4,2.08,66,0,59,0,0,31,86.2,59,24,20,6,38,8,98,3,1,2,353,1.119,193,5,5,1,4,1
3,"Frank Viola\violafr01","NYM",19,0,"16%",6.4,20,12,0.625,2.67,35,35,0,7,3,0,249.2,227,83,74,15,60,2,182,2,0,11,1016,1.15,141,3,3,2,1,2
1,"Doug Drabek\drabedo01","PIT",118,23,"98%",4.2,22,6,0.786,2.76,33,33,0,9,3,0,231.1,190,78,71,15,56,2,131,3,0,6,918,1.063,131,1,4,3,2,3
2,"Ramon Martinez\martira02","LAD",70,1,"58%",3.9,20,6,0.769,2.92,33,33,0,12,3,0,234.1,191,89,76,22,67,5,223,4,3,3,950,1.101,126,2,1,4,3,4
4,"Dwight Gooden\goodedw01","NYM",8,0,"7%",2.5,19,7,0.731,3.83,34,34,0,2,1,0,232.2,229,106,99,10,70,3,223,7,3,6,983,1.285,98,4,2,5,5,5
