"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
1,"Mark Davis\davisma01","SDP",107,19,"89%",4.4,4,3,0.571,1.85,70,0,65,0,0,44,92.2,66,21,19,6,31,1,92,2,0,8,370,1.047,191,9,9,1,3,1
4,"Orel Hershiser\hershor01","LAD",7,1,"6%",7,15,15,0.5,2.31,35,33,0,8,4,0,256.2,226,75,66,9,77,14,178,3,4,8,1047,1.181,149,6,2,3,1,2
6,"Scott Garrelts\garresc01","SFG",4,0,"3%",4.1,14,5,0.737,2.28,30,29,0,2,1,0,193.1,149,58,49,11,46,3,119,0,2,7,766,1.009,148,8,7,2,5,3
9,"Mitch Williams\willimi02","CHC",1,0,"1%",2.3,4,4,0.5,2.76,76,0,61,0,0,36,81.2,71,27,25,6,52,4,67,8,4,6,365,1.506,138,10,10,4,10,4
3,"Greg Maddux\maddugr01","CHC",17,0,"14%",5.1,19,12,0.613,2.95,35,35,0,7,1,0,238.1,222,90,78,13,82,13,135,6,3,5,1002,1.276,129,2,5,8,2,5
4,"Joe Magrane\magrajo01","STL",7,0,"6%",3.5,18,9,0.667,2.91,34,33,1,9,3,0,234.2,219,81,76,5,72,7,127,6,5,14,971,1.24,124,3,6,6,7,6
6,"Tim Belcher\belchti01","LAD",4,0,"3%",4.1,15,12,0.556,2.82,39,30,6,10,8,1,230,182,81,72,20,80,5,200,7,2,7,937,1.139,122,7,1,5,6,7
9,"Mike Bielecki\bielemi01","CHC",1,0,"1%",4.3,18,7,0.72,3.14,33,33,0,4,3,0,212.1,187,82,74,16,81,8,147,0,4,9,882,1.262,121,4,4,10,4,8
8,"Rick Reuschel\reuscri01","SFG",3,0,"3%",2.7,17,8,0.68,2.94,32,32,0,2,0,0,208.1,195,75,68,18,54,4,111,2,0,1,860,1.195,115,5,8,7,9,9
2,"Mike Scott\scottmi03","HOU",65,4,"54%",2.9,20,10,0.667,3.1,33,32,1,9,2,0,229,180,87,79,23,62,12,172,3,0,7,924,1.057,110,1,3,9,8,10
