"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
9,"John Axford\axforjo01","MIL",2,0,"1%",2.3,2,2,0.5,1.95,74,0,63,0,0,46,73.2,59,19,16,4,25,1,86,0,0,8,305,1.14,202,12,12,1,10,1
9,"Craig Kimbrel\kimbrcr01","ATL",2,0,"1%",2.4,4,3,0.571,2.1,79,0,64,0,0,46,77,48,19,18,3,32,1,127,1,0,4,306,1.039,183,11,11,2,9,2
2,"Roy Halladay\hallaro01","PHI",133,4,"59%",8.8,19,6,0.76,2.35,32,32,0,8,1,0,233.2,208,65,61,10,35,4,220,4,1,2,933,1.04,163,3,3,4,1,3
1,"Clayton Kershaw\kershcl01","LAD",207,27,"92%",6.7,21,5,0.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,0.977,161,1,1,3,3,4
3,"Cliff Lee\leecl02","PHI",90,0,"40%",8.5,17,8,0.68,2.4,32,32,0,6,6,0,232.2,197,66,62,18,42,0,238,6,0,0,920,1.027,160,4,2,5,2,5
5,"Cole Hamels\hamelco01","PHI",17,0,"8%",6.4,14,9,0.609,2.79,32,31,0,3,0,0,216,169,68,67,19,44,2,194,5,3,3,850,0.986,137,6,7,8,4,6
4,"Ian Kennedy\kenneia01","ARI",76,1,"34%",4.8,21,4,0.84,2.88,33,33,0,1,1,0,222,186,73,71,19,55,0,198,9,1,11,900,1.086,137,2,6,9,5,7
11,"Ryan Vogelsong\vogelry01","SFG",1,0,"0%",2.7,13,7,0.65,2.71,30,28,1,1,1,0,179.2,164,62,54,15,61,6,139,5,1,1,752,1.252,129,9,10,6,8,8
6,"Tim Lincecum\linceti01","SFG",7,0,"3%",3.7,13,14,0.481,2.74,33,33,0,1,1,0,217,176,74,66,15,86,5,220,6,0,9,900,1.207,127,7,4,7,6,9
8,"Matt Cain\cainma01","SFG",3,0,"1%",3.1,12,11,0.522,2.88,33,33,0,1,0,0,221.2,177,82,71,9,63,5,179,9,0,4,907,1.083,121,10,9,10,7,10
7,"Yovani Gallardo\gallayo01","MIL",5,0,"2%",2.3,17,10,0.63,3.52,33,33,0,1,1,0,207.1,193,92,81,27,59,1,207,1,0,12,865,1.215,112,5,5,12,11,11
11,"Madison Bumgarner\bumgama01","SFG",1,0,"0%",1.9,13,13,0.5,3.21,33,33,0,0,0,0,204.2,202,82,73,12,46,5,191,5,1,0,844,1.212,109,8,8,11,12,12
